mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
13,2,9,1,1,1,0,0,3,3,0,0,0,0,0,0,3,0,4.378578646,0.673627484,3.031323678,0.336813742,0.336813742,0.336813742,0,0,1.010441226,1.010441226,0,0,0,0,0,0,1.010441226,0,2.969,0,0,0,1,0,0,3EKZL9T8Y8YOBCNJ8YLXZTFP54QCH3#e15a2112-ddc9-4e10-81f9-4d54c3fb4918#1A108OZCQQWRJWF,Dates -  2/5,1468,Reliable
16,2,9,1,1,1,0,0,3,3,0,0,0,0,0,0,3,0,4.41135925,0.551419906,2.481389578,0.275709953,0.275709953,0.275709953,0,0,0.827129859,0.827129859,0,0,0,0,0,0,0.827129859,0,3.627,0,0,0,1,0,0,3EKZL9T8Y8YOBCNJ8YLXZTFP54QCH3#e15a2112-ddc9-4e10-81f9-4d54c3fb4918#1A108OZCQQWRJWF,Dates -  3/5,1468,Reliable
42,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,19,0,8.8365243,0,3.155901536,0.210393436,0.210393436,0.210393436,0,0,1.262360614,1.262360614,0,0,0,0,0,0,3.997475279,0,4.753,0,0,0,1,0,0,3S1L4CQSFXHG41ZFTU16QDDOPMSAF1#a2393950-85d8-4461-9112-24b797e3c0b0#1A108OZCQQWRJWF,Dates -  2/5,1468,Reliable
43,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,19,0,8.764777823,0,3.057480636,0.203832042,0.203832042,0.203832042,0,0,1.222992254,1.222992254,0,0,0,0,0,0,3.872808806,0,4.906,0,0,0,1,0,0,3S1L4CQSFXHG41ZFTU16QDDOPMSAF1#a2393950-85d8-4461-9112-24b797e3c0b0#1A108OZCQQWRJWF,Dates -  3/5,1468,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,9.900990099,0,11.551155116,1.650165017,1.650165017,1.650165017,0,0,3.300330033,3.300330033,0,0,0,0,0,0,0,0,0.606,0,0,0,0,1,0,3BVS8WK9Q075X26X0G7NOLAMNW3BIM#e9c89b78-b5c3-4ce7-a42f-a52ad1b58ac9#1A182P7WD5DJU9P,Table -  6/7,1468,Reliable
30,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,13,0,9.505703422,0,4.11913815,0.316856781,0.316856781,0.316856781,0,0,1.584283904,1.584283904,0,0,0,0,0,0,4.11913815,0,3.156,0,0,0,1,0,0,3MWOYZD5WV0HUX6X11P1ZD62GUJNOL#21569543-55c3-43b3-9485-fac673f291bf#1A182P7WD5DJU9P,Dates -  4/5,1468,Reliable
21,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,5,0,62.686567164,0,20.895522388,2.985074627,2.985074627,2.985074627,0,0,5.970149254,5.970149254,0,0,0,0,0,0,14.925373134,0,0.335,15.218,0,0,0,1,0,3NCN4N1H1GTXB3HOXWKFTT639VXBN2#72af8261-52e1-448a-938d-67f30e24d484#1A182P7WD5DJU9P,Table -  2/7,1468,Reliable
20,0,11,1,1,1,0,0,4,4,0,0,0,0,1,0,3,0,5.696382797,0,3.133010538,0.28481914,0.28481914,0.28481914,0,0,1.139276559,1.139276559,0,0,0,0,0.28481914,0,0.85445742,0,3.511,0,0,0,1,0,0,33KGGVH24UT1AZD0X5EZLJKSPXI1XV#72f4c0e8-24c5-49a6-b29b-38b1dcfc8a1f#1A1PU9GMUS4JVED,Dates -  2/5,1468,Reliable
40,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,18,0,8.463817182,0,3.173931443,0.21159543,0.21159543,0.21159543,0,0,1.269572577,1.269572577,0,0,0,0,0,0,3.808717732,0,4.726,0,0,0,1,0,0,33KGGVH24UT1AZD0X5EZLJKSPXI1XV#72f4c0e8-24c5-49a6-b29b-38b1dcfc8a1f#1A1PU9GMUS4JVED,Dates -  3/5,1468,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,11.090573013,0,12.939001848,1.848428835,1.848428835,1.848428835,0,0,3.696857671,3.696857671,0,0,0,0,0,0,0,0,0.541,0,0,0,0,1,0,3FULMHZ7OU978MBF6GVS80BXUD5M46#1fb14156-d22c-4673-955e-17a767a0937a#1A1PU9GMUS4JVED,Table -  4/7,1468,Reliable
11,5,20,4,4,4,0,0,4,4,0,0,0,0,4,0,1,0,4.265219077,1.938735944,7.754943777,1.550988755,1.550988755,1.550988755,0,0,1.550988755,1.550988755,0,0,0,0,1.550988755,0,0.387747189,0,2.579,0,0,0,1,0,0,3OWZNK3RYL1GIG11B43Q6VVTNLE2UK#85bb9e4a-a4cb-48f1-8fbe-abf035a98890#1A2T2ECXXWQJ1UL,Dates -  4/5,1468,Reliable
12,5,18,3,3,4,0,0,4,4,0,0,0,0,4,0,1,0,4.482629809,1.867762421,6.723944714,1.120657452,1.120657452,1.494209936,0,0,1.494209936,1.494209936,0,0,0,0,1.494209936,0,0.373552484,0,2.677,0,0,0,1,0,0,3OWZNK3RYL1GIG11B43Q6VVTNLE2UK#85bb9e4a-a4cb-48f1-8fbe-abf035a98890#1A2T2ECXXWQJ1UL,Dates -  5/5,1468,Reliable
17,7,17,3,3,3,0,0,4,4,0,0,0,0,3,0,3,0,4.88225158,2.010338886,4.88225158,0.861573808,0.861573808,0.861573808,0,0,1.148765078,1.148765078,0,0,0,0,0.861573808,0,0.861573808,0,3.482,0,0,0,1,0,0,3XT3KXP24ZAZRQP24PQFD5OU9VSI68#d4bd8e86-9ef2-4a9d-8b64-1f93eba3e5bd#1A2T2ECXXWQJ1UL,Dates -  1/5,1468,Reliable
41,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,19,0,10.783798001,0,3.945291952,0.263019463,0.263019463,0.263019463,0,0,1.578116781,1.578116781,0,0,0,0,0,0,4.997369805,0,3.802,0,0,0,1,0,0,37PGLWGSJTI6Q5AR6TKGNOTCAQFKII#60859953-5016-4bb6-83ff-280c96fef425#1AHK15S5SHL2MW,Dates -  3/5,1468,Reliable
39,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,18,0,9.294566254,0,3.574833174,0.238322212,0.238322212,0.238322212,0,0,1.42993327,1.42993327,0,0,0,0,0,0,4.289799809,0,4.196,0,0,0,1,0,0,37PGLWGSJTI6Q5AR6TKGNOTCAQFKII#60859953-5016-4bb6-83ff-280c96fef425#1AHK15S5SHL2MW,Dates -  4/5,1468,Reliable
