mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,Confidence,recording_id,step_id,workunit_id,class
68,1,21,1,1,1,0,0,9,9,0,0,0,0,0,0,34,0,6.501577588679607,0.0956114351276412,2.007840137680467,0.0956114351276412,0.0956114351276412,0.0956114351276412,0.0,0.0,0.8605029161487714,0.8605029161487714,0.0,0.0,0.0,0.0,0.0,0.0,3.2507887943398037,0.0,10.459,0.0,0.5439041,0090b5d6-5f22-4aab-989b-2722d411b0f0#0f3e4c64-98a3-424a-b08d-617b3ccfa76f#1534b25ab,1470,Page 1 of Dates -  1/5,Reliable
57,3,18,1,1,2,0,0,7,7,0,0,0,0,4,0,27,0,7.8125,0.4111842105263157,2.4671052631578947,0.1370614035087719,0.1370614035087719,0.2741228070175438,0.0,0.0,0.9594298245614036,0.9594298245614036,0.0,0.0,0.0,0.0,0.5482456140350876,0.0,3.700657894736842,0.0,7.296,0.0,0.6037674,0090b5d6-5f22-4aab-989b-2722d411b0f0#0f3e4c64-98a3-424a-b08d-617b3ccfa76f#1534b25ab,1470,Page 1 of Dates -  5/5,Reliable
69,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,31,0,4.118419481914766,0.0,1.2534320162349288,0.0596872388683299,0.0596872388683299,0.0596872388683299,0.0,0.0,0.5371851498149696,0.5371851498149696,0.0,0.0,0.0,0.0,0.0,0.0,1.850304404918228,0.0,16.754,0.0,0.6761029,010a693c-e990-4619-89cf-2c9ae5fe89a0#bc53253c-6c8a-4299-aadb-d20f773d4aea#1c2d5cfc0,1470,Page 1 of Dates -  2/5,Reliable
71,1,21,1,1,1,0,0,9,9,0,0,0,0,0,0,33,0,4.4600791507004205,0.0628180162070481,1.3191783403480115,0.0628180162070481,0.0628180162070481,0.0628180162070481,0.0,0.0,0.5653621458634336,0.5653621458634336,0.0,0.0,0.0,0.0,0.0,0.0,2.0729945348325898,0.0,15.919,0.0,0.6397899,010a693c-e990-4619-89cf-2c9ae5fe89a0#bc53253c-6c8a-4299-aadb-d20f773d4aea#1c2d5cfc0,1470,Page 1 of Dates -  3/5,Reliable
46,1,15,1,1,1,0,0,6,6,0,0,0,0,0,0,19,0,5.064406033248926,0.1100957833314984,1.651436749972476,0.1100957833314984,0.1100957833314984,0.1100957833314984,0.0,0.0,0.6605746999889904,0.6605746999889904,0.0,0.0,0.0,0.0,0.0,0.0,2.0918198832984696,0.0,9.083,0.0,0.75880915,010a693c-e990-4619-89cf-2c9ae5fe89a0#bc53253c-6c8a-4299-aadb-d20f773d4aea#1c2d5cfc0,1470,Page 1 of Dates -  4/5,Reliable
78,4,20,1,1,2,0,0,8,8,0,0,0,0,0,0,31,0,4.198966408268734,0.2153316106804478,1.0766580534022394,0.0538329026701119,0.0538329026701119,0.1076658053402239,0.0,0.0,0.4306632213608957,0.4306632213608957,0.0,0.0,0.0,0.0,0.0,0.0,1.668819982773471,0.0,18.576,0.0,0.62056595,010a693c-e990-4619-89cf-2c9ae5fe89a0#bc53253c-6c8a-4299-aadb-d20f773d4aea#1c2d5cfc0,1470,Page 1 of Dates -  5/5,Reliable
72,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,33,0,9.082881291787562,0.0,2.649173710104705,0.126151129052605,0.126151129052605,0.126151129052605,0.0,0.0,1.1353601614734452,1.1353601614734452,0.0,0.0,0.0,0.0,0.0,0.0,4.162987258735966,0.0,7.927,0.0,0.4929496,017ea130-de68-487b-95a7-074a3fc6ba8b#35642a9b-6ff2-442b-9cc9-cd3281b9c0c1#108863791,1470,Page 1 of Dates -  2/5,Reliable
70,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,32,0,8.478682170542635,0.0,2.5436046511627906,0.1211240310077519,0.1211240310077519,0.1211240310077519,0.0,0.0,1.0901162790697674,1.0901162790697674,0.0,0.0,0.0,0.0,0.0,0.0,3.875968992248062,0.0,8.256,0.0,0.51917005,017ea130-de68-487b-95a7-074a3fc6ba8b#35642a9b-6ff2-442b-9cc9-cd3281b9c0c1#108863791,1470,Page 1 of Dates -  3/5,Reliable
80,0,25,1,1,1,0,0,11,11,0,0,0,0,1,0,36,0,4.763038818766373,0.0,1.4884496308644917,0.0595379852345796,0.0595379852345796,0.0595379852345796,0.0,0.0,0.6549178375803762,0.6549178375803762,0.0,0.0,0.0,0.0,0.0595379852345796,0.0,2.143367468444868,0.0,16.796,0.0,0.5305264,017ea130-de68-487b-95a7-074a3fc6ba8b#35642a9b-6ff2-442b-9cc9-cd3281b9c0c1#108863791,1470,Page 1 of Dates -  4/5,Reliable
68,2,19,1,1,1,0,0,8,8,0,0,0,0,3,0,33,0,8.012254035583833,0.235654530458348,2.2387180393543065,0.117827265229174,0.117827265229174,0.117827265229174,0.0,0.0,0.9426181218333922,0.9426181218333922,0.0,0.0,0.0,0.0,0.3534817956875221,0.0,3.888299752562743,0.0,8.487,0.0,0.56598413,017ea130-de68-487b-95a7-074a3fc6ba8b#35642a9b-6ff2-442b-9cc9-cd3281b9c0c1#108863791,1470,Page 1 of Dates -  5/5,Reliable
