mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
97,13,15,2,2,2,0,0,5,4,0,0,0,0,0,1,5,0,5.828626367,0.781156111,0.901333974,0.120177863,0.120177863,0.120177863,0,0,0.300444658,0.240355726,0,0,0,0,0,0.060088932,0.300444658,0,16.642,65.172,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  1/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,4.110996917,0,7.194244604,1.027749229,1.027749229,1.027749229,0,0,2.055498458,2.055498458,0,0,0,0,0,0,0,0,0.973,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  10/11,1470,Reliable
6,3,6,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,2.733485194,1.366742597,2.733485194,0.455580866,0.455580866,0.911161731,0,0,0.455580866,0.455580866,0,0,0,0,0,0,0,0,2.195,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  11/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.879728419,0,6.789524733,0.969932105,0.969932105,0.969932105,0,0,1.93986421,1.93986421,0,0,0,0,0,0,0,0,1.031,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  2/11,1470,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,2.591792657,0,3.023758099,0.431965443,0.431965443,0.431965443,0,0,0.863930886,0.863930886,0,0,0,0,0,0,0,0,2.315,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  3/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,2.973977695,0,5.204460967,0.743494424,0.743494424,0.743494424,0,0,1.486988848,1.486988848,0,0,0,0,0,0,0,0,1.345,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  4/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.629764065,0,6.352087114,0.907441016,0.907441016,0.907441016,0,0,1.814882033,1.814882033,0,0,0,0,0,0,0,0,1.102,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  5/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.842459174,0,6.724303554,0.960614793,0.960614793,0.960614793,0,0,1.921229587,1.921229587,0,0,0,0,0,0,0,0,1.041,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  6/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.364171573,0,5.887300252,0.841042893,0.841042893,0.841042893,0,0,1.682085786,1.682085786,0,0,0,0,0,0,0,0,1.189,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  7/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.734827264,0,6.535947712,0.933706816,0.933706816,0.933706816,0,0,1.867413632,1.867413632,0,0,0,0,0,0,0,0,1.071,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  8/11,1470,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,4.06504065,0,7.113821138,1.016260163,1.016260163,1.016260163,0,0,2.032520325,2.032520325,0,0,0,0,0,0,0,0,0.984,0,0,1,0,0,0,678fb5d5-5a9e-4370-8933-fb846cfd5ec3#ed170546-3a0f-4e7c-98f8-22d935682b88#105fc494c,Amounts -  9/11,1470,Reliable
294,3,25,3,3,3,0,0,5,5,3,0,3,0,0,0,5,0,79.566982409,0.811907984,6.765899865,0.811907984,0.811907984,0.811907984,0,0,1.353179973,1.353179973,0.811907984,0,0.811907984,0,0,0,1.353179973,0,3.695,274.147,0,1,0,0,0,c7d1ccb3-c588-46d9-b0b9-1c08a39a240a#8c4d8599-2a6a-4f77-a1c7-4076e482dce2#126d19227,Amounts -  1/11,1470,Reliable
