mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
22,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,7,0,5.360623782,0,2.192982456,0.243664717,0.243664717,0.243664717,0,0,0.730994152,0.730994152,0,0,0,0,0,0,1.705653021,0,4.104,0,0,0,1,0,0,06e6d814-1805-4067-bf0d-5d7f1f79684b#ec16e400-0d8f-48d8-abc3-a75b3ea9e4c4#1395f866d,Dates -  3/5,1470,Unreliable
22,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,7,0,5.578093306,0,2.281947262,0.253549696,0.253549696,0.253549696,0,0,0.760649087,0.760649087,0,0,0,0,0,0,1.77484787,0,3.944,0,0,0,1,0,0,06e6d814-1805-4067-bf0d-5d7f1f79684b#ec16e400-0d8f-48d8-abc3-a75b3ea9e4c4#1395f866d,Dates -  4/5,1470,Unreliable
20,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,7,0,5.588153115,0,2.514668902,0.279407656,0.279407656,0.279407656,0,0,0.838222967,0.838222967,0,0,0,0,0,0,1.95585359,0,3.579,0,0,0,1,0,0,2d9cf058-5ad5-4f5a-b1c5-f542c677a2b6#4a69b816-31a6-49f6-a533-e6ec6c0ef325#1395f866d,Dates -  2/5,1470,Unreliable
22,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,9,0,7.24399078,0,2.963450774,0.329272308,0.329272308,0.329272308,0,0,0.987816925,0.987816925,0,0,0,0,0,0,2.963450774,0,3.037,0,0,0,1,0,0,2d9cf058-5ad5-4f5a-b1c5-f542c677a2b6#4a69b816-31a6-49f6-a533-e6ec6c0ef325#1395f866d,Dates -  3/5,1470,Unreliable
21,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,8,0,6.350166314,0,2.721499849,0.302388872,0.302388872,0.302388872,0,0,0.907166616,0.907166616,0,0,0,0,0,0,2.419110977,0,3.307,0,0,0,1,0,0,85bf60ce-12fe-4ce2-9107-f19199b72e22#c3caf973-47e1-455a-86c1-cc965cec7eb7#1395f866d,Dates -  2/5,1470,Unreliable
22,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,8,0,7.217847769,0,2.952755906,0.32808399,0.32808399,0.32808399,0,0,0.984251969,0.984251969,0,0,0,0,0,0,2.624671916,0,3.048,0,0,0,1,0,0,85bf60ce-12fe-4ce2-9107-f19199b72e22#c3caf973-47e1-455a-86c1-cc965cec7eb7#1395f866d,Dates -  3/5,1470,Unreliable
5,3,14,3,3,4,0,0,2,2,0,0,0,0,5,0,7,0,2.807411567,1.68444694,7.860752386,1.68444694,1.68444694,2.245929253,0,0,1.122964627,1.122964627,0,0,0,0,2.807411567,0,3.930376193,0,1.781,0,0,0,1,0,0,33NKDW9FFXULX2NYD23J2F3JUUVXC4#954738ba-b15f-4128-961c-f5fe66405f8c#1A1UZ1F66WAIF73,Dates -  2/2,1469,Unreliable
271,5,19,2,2,4,0,0,6,5,0,0,0,0,2,0,35,0,24.751118824,0.456662709,1.735318294,0.182665084,0.182665084,0.365330167,0,0,0.547995251,0.456662709,0,0,0,0,0.182665084,0,3.196638962,0,10.949,0,0,0,0,0,1,3K8CQCU3KEDPZ6FZSNGBG7JOKVBWNY#31a00df4-6be7-4264-8e5a-f6a300d5cca1#1A1UZ1F66WAIF73,Your Task,1000,Reliable
5,3,11,2,2,3,0,0,2,2,0,0,0,0,6,0,7,0,3.071253071,1.842751843,6.756756757,1.228501229,1.228501229,1.842751843,0,0,1.228501229,1.228501229,0,0,0,0,3.685503686,0,4.2997543,0,1.628,0,0,0,1,0,0,3P4C70TRMRT3EKME15WEHCTBLCFGLB#7667f6f0-cb26-4a34-94e7-b0f274f3dfc1#1A1UZ1F66WAIF73,Dates -  5/5,1469,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,5,0,18.867924528,0,33.018867925,4.716981132,4.716981132,4.716981132,0,0,9.433962264,9.433962264,0,0,0,0,0,0,23.58490566,0,0.212,0,0,0,0,1,0,3UQ1LLR26AK24T9BF544LQI8NHPALG#e7230ba8-fcb0-46ae-86d4-9c24a0ee2a80#1A1UZ1F66WAIF73,Table -  2/7,1469,Unreliable
