mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
67,3,23,2,2,3,0,0,8,8,0,0,0,0,3,0,32,0,6.694644285,0.299760192,2.298161471,0.199840128,0.199840128,0.299760192,0,0,0.799360512,0.799360512,0,0,0,0,0.299760192,0,3.197442046,0,10.008,0,0,0,1,0,0,0c84f3e0-1271-47b4-a9ec-3be615a0b572#840c2b36-b5b0-4781-a80b-13aa2cc606f5#12d071e9a,Dates -  5/5,1470,Unreliable
65,0,19,1,1,1,0,0,8,8,0,0,0,0,0,0,34,0,7.5669383,0,2.211874272,0.116414435,0.116414435,0.116414435,0,0,0.931315483,0.931315483,0,0,0,0,0,0,3.958090803,0,8.59,0,0,0,1,0,0,12c426f0-4895-4327-ba64-349438c319d4#123a8e26-68d4-4630-b706-f762d4bbdefc#12d071e9a,Dates -  4/5,1470,Unreliable
71,1,17,1,1,1,0,0,7,7,0,0,0,0,0,0,26,0,9.394019582,0.132310135,2.249272294,0.132310135,0.132310135,0.132310135,0,0,0.926170945,0.926170945,0,0,0,0,0,0,3.440063509,0,7.558,14.488,0,0,1,0,0,f0604631-e07c-4968-862c-41c3184bc482#2813ff17-2a48-492c-b010-b915103d21f8#12d071e9a,Dates -  2/5,1470,Unreliable
67,3,26,2,2,2,0,0,10,10,0,0,0,0,0,0,33,0,5.456470397,0.24431957,2.117436273,0.162879713,0.162879713,0.162879713,0,0,0.814398567,0.814398567,0,0,0,0,0,0,2.68751527,0,12.279,0,0,0,1,0,0,f0604631-e07c-4968-862c-41c3184bc482#2813ff17-2a48-492c-b010-b915103d21f8#12d071e9a,Dates -  3/5,1470,Unreliable
72,4,17,1,1,1,0,0,7,7,0,0,0,0,0,0,31,0,3.607033716,0.200390762,0.851660738,0.05009769,0.05009769,0.05009769,0,0,0.350683833,0.350683833,0,0,0,0,0,0,1.553028405,0,19.961,0,0,0,1,0,0,f0604631-e07c-4968-862c-41c3184bc482#2813ff17-2a48-492c-b010-b915103d21f8#12d071e9a,Dates -  4/5,1470,Unreliable
90,3,25,2,2,3,0,0,9,9,0,0,0,0,3,0,34,0,3.889537145,0.129651238,1.080426985,0.086434159,0.086434159,0.129651238,0,0,0.388953715,0.388953715,0,0,0,0,0.129651238,0,1.469380699,0,23.139,0,0,0,1,0,0,f0604631-e07c-4968-862c-41c3184bc482#2813ff17-2a48-492c-b010-b915103d21f8#12d071e9a,Dates -  5/5,1470,Unreliable
788,0,10,0,0,2,0,0,4,4,0,0,0,0,2,0,24,0,137.545819515,0,1.745505324,0,0,0.349101065,0,0,0.69820213,0.69820213,0,0,0,0,0.349101065,0,4.189212777,0,5.729,20.05,0,0,0,0,1,2b9ed686-719f-4853-aa54-6825ffee832b#1d173c56-3ea0-4d23-be3d-74a6902187cf#1489f0bf8,Your Task,1033,Reliable
731,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,17,0,256.851721715,0,1.405481377,0,0,0.702740689,0,0,0.351370344,0.351370344,0,0,0,0,0,0,5.973295854,0,2.846,31.804,0,0,0,0,1,71ef1d9c-d512-4651-970c-8ff6a7981468#dd4188ec-0188-4f49-a648-50329ec96498#1489f0bf8,Your Task,1033,Reliable
934,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,17,0,734.854445319,0,3.147128245,0,0,1.573564123,0,0,0.786782061,0.786782061,0,0,0,0,0,0,13.375295043,0,1.271,43.159,0,0,0,0,1,cc4dc854-9bb9-4760-9a3e-242454aeed9d#1fad6340-8113-4a63-a296-2a8039712ba2#1489f0bf8,Your Task,1033,Reliable
1489,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,20,0,1904.092071611,0,5.115089514,0,0,2.557544757,0,0,1.278772379,1.278772379,0,0,0,0,0,0,25.57544757,0,0.782,69.603,0,0,0,0,1,cc6c4c87-2139-47fa-bf61-ab0a7193406a#5e7c7a34-bc75-4eab-956f-6c3cb7b999c4#1489f0bf8,Your Task,970,Reliable
