mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
72,1,22,1,1,2,0,0,9,9,0,0,0,0,0,0,32,0,6.090340044,0.084588056,1.860937236,0.084588056,0.084588056,0.169176112,0,0,0.761292505,0.761292505,0,0,0,0,0,0,2.706817797,0,11.822,0,0,0,1,0,0,0acb0689-9e6d-4b84-85d5-83aad488e3a0#80b000d7-fc80-48e2-8858-b4210797ffc3#10c85219c,Dates -  3/5,1470,Unreliable
73,3,23,1,1,3,0,0,9,9,0,0,0,0,3,0,26,0,5.307546895,0.218118366,1.672240803,0.072706122,0.072706122,0.218118366,0,0,0.654355097,0.654355097,0,0,0,0,0.218118366,0,1.890359168,0,13.754,0,0,0,1,0,0,0acb0689-9e6d-4b84-85d5-83aad488e3a0#80b000d7-fc80-48e2-8858-b4210797ffc3#10c85219c,Dates -  5/5,1470,Reliable
79,12,20,2,2,2,0,0,7,7,0,0,0,0,0,0,26,0,3.003916499,0.456291114,0.76048519,0.076048519,0.076048519,0.076048519,0,0,0.266169816,0.266169816,0,0,0,0,0,0,0.988630746,0,26.299,0,0,0,1,0,0,561a90f1-8079-4b26-b7be-191af1262414#b0a6c9c3-9aa9-43d8-ac32-630223cba260#10c85219c,Dates -  1/5,1470,Reliable
71,11,28,3,3,4,0,0,9,9,0,0,0,0,3,0,28,0,4.338792471,0.672207284,1.711073087,0.183329259,0.183329259,0.244439012,0,0,0.549987778,0.549987778,0,0,0,0,0.183329259,0,1.711073087,0,16.364,0,0,0,1,0,0,561a90f1-8079-4b26-b7be-191af1262414#b0a6c9c3-9aa9-43d8-ac32-630223cba260#10c85219c,Dates -  5/5,1470,Unreliable
112,5,20,1,1,2,0,0,8,8,0,0,0,0,0,0,32,0,8.939974457,0.399106003,1.59642401,0.079821201,0.079821201,0.159642401,0,0,0.638569604,0.638569604,0,0,0,0,0,0,2.554278416,0,12.528,32.478,0,0,1,0,0,b71a587f-0fe3-4cb9-90a8-75408c648f05#aaa7fbcf-1a16-4494-8ead-b6a2e486bbd7#10c85219c,Dates -  1/5,1470,Unreliable
63,1,20,1,1,2,0,0,8,8,0,0,0,0,0,0,26,0,7.528680688,0.119502868,2.390057361,0.119502868,0.119502868,0.239005736,0,0,0.956022945,0.956022945,0,0,0,0,0,0,3.10707457,0,8.368,0,0,0,1,0,0,b71a587f-0fe3-4cb9-90a8-75408c648f05#aaa7fbcf-1a16-4494-8ead-b6a2e486bbd7#10c85219c,Dates -  2/5,1470,Unreliable
69,0,20,1,1,2,0,0,8,8,0,0,0,0,0,0,33,0,7.572431958,0,2.194907814,0.109745391,0.109745391,0.219490781,0,0,0.877963126,0.877963126,0,0,0,0,0,0,3.621597893,0,9.112,0,0,0,1,0,0,b71a587f-0fe3-4cb9-90a8-75408c648f05#aaa7fbcf-1a16-4494-8ead-b6a2e486bbd7#10c85219c,Dates -  3/5,1470,Unreliable
68,0,20,1,1,2,0,0,8,8,0,0,0,0,0,0,30,0,8.897029962,0,2.616773518,0.130838676,0.130838676,0.261677352,0,0,1.046709407,1.046709407,0,0,0,0,0,0,3.925160277,0,7.643,0,0,0,1,0,0,b71a587f-0fe3-4cb9-90a8-75408c648f05#aaa7fbcf-1a16-4494-8ead-b6a2e486bbd7#10c85219c,Dates -  4/5,1470,Unreliable
68,3,24,2,2,4,0,0,8,8,0,0,0,0,3,0,33,0,6.45835312,0.284927344,2.279418748,0.189951562,0.189951562,0.379903125,0,0,0.759806249,0.759806249,0,0,0,0,0.284927344,0,3.134200779,0,10.529,0,0,0,1,0,0,b71a587f-0fe3-4cb9-90a8-75408c648f05#aaa7fbcf-1a16-4494-8ead-b6a2e486bbd7#10c85219c,Dates -  5/5,1470,Unreliable
99,5,19,1,1,1,0,0,8,8,0,0,0,0,0,0,30,0,10.082493126,0.509216825,1.935023933,0.101843365,0.101843365,0.101843365,0,0,0.814746919,0.814746919,0,0,0,0,0,0,3.055300947,0,9.819,31.478,0,0,1,0,0,badec7a0-f38f-4735-b807-32be0533d3dd#1e3881b3-fb4f-4afe-8e99-b42946b4ad4d#10c85219c,Dates -  1/5,1470,Unreliable
