mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,step_id,DatesReha,Amounts,Dates,Table,Your Task,Prediction,Confidence,confidence_without_cal,recording_id,step_id,workunit_id,class
152,4,22,2,2,2,0,0,8,8,0,0,0,0,0,0,38,0,19.021399074,0.500563134,2.753097234,0.250281567,0.250281567,0.250281567,0,0,1.001126267,1.001126267,0,0,0,0,0,0,4.755349768,0,7.991,0,1470,0,0,1,0,0,Reliable,0,0.9999957,05406701-82fd-4a95-9ade-d155b9ded4b8#77e9ee3c-e817-4631-bc5d-df8a219b2a46#1e6c70d47,1470,Dates - 3/5,Reliable
82,6,49,1,1,1,0,0,23,23,0,0,0,0,6,0,30,0,12.7309424,0.931532371,7.607514361,0.155255395,0.155255395,0.155255395,0,0,3.570874088,3.570874088,0,0,0,0,0.931532371,0,4.657661854,0,6.441,0,1470,0,0,1,0,0,Reliable,0,0.99999547,0d6d5c72-66fa-4e94-a47d-a8f0f8d9f523#e54e5813-bff2-491f-a451-76ba4111b62e#118e5d1d8,1470,Dates - 4/5,Reliable
40,0,15,1,1,1,0,0,6,6,0,0,0,0,4,0,26,0,3.269309358,0,1.225991009,0.081732734,0.081732734,0.081732734,0,0,0.490396404,0.490396404,0,0,0,0,0.326930936,0,2.125051083,0,12.235,0,1470,0,0,0,1,0,Reliable,0,0.9999958,0f9ee992-672c-4568-8945-be10b7451d66#2b180c92-f886-48a1-aedd-bb609d3bed8a#10994884e,1470,Table - 6/7,Unreliable
102,0,25,1,1,1,0,0,11,11,0,0,0,0,0,0,43,0,8.132025831,0,1.993143586,0.079725743,0.079725743,0.079725743,0,0,0.876983178,0.876983178,0,0,0,0,0,0,3.428206968,0,12.543,0,1470,0,0,1,0,0,Reliable,0,0.9999956,1693597d-36ee-4e05-a45b-7640ccb3e797#2edb472b-0a53-44f6-95aa-c68578583630#153a9c4ea,1470,Dates - 4/5,Reliable
92,4,20,1,1,2,0,0,8,8,0,0,0,0,3,0,39,0,7.683955567,0.334085025,1.670425123,0.083521256,0.083521256,0.167042512,0,0,0.668170049,0.668170049,0,0,0,0,0.250563768,0,3.25732899,0,11.973,0,1470,0,0,1,0,0,Reliable,0,0.9999956,1c5be9a3-2884-47f3-88c3-519a0313be90#c8c92af8-749d-4c22-971a-0fb3499ca20a#136242d9f,1470,Dates - 5/5,Reliable
29,2,16,2,2,2,0,0,5,5,0,0,0,0,0,0,21,0,6.324972737,0.436205016,3.489640131,0.436205016,0.436205016,0.436205016,0,0,1.090512541,1.090512541,0,0,0,0,0,0,4.580152672,0,4.585,0,1470,0,0,0,1,0,Reliable,0,0.9999958,1d26547c-9489-421e-a2e5-a79ea65a9fb8#deea3eca-6032-42fd-b9a4-bfcfba26e06b#1b82f2f5c,1470,Table - 6/7,Reliable
49,1,13,1,1,1,0,0,5,5,0,0,0,0,0,0,31,0,5.397664684,0.110156422,1.432033488,0.110156422,0.110156422,0.110156422,0,0,0.550782111,0.550782111,0,0,0,0,0,0,3.414849086,0,9.078,0,1470,0,0,0,1,0,Reliable,0,0.9999958,2d2991de-af65-422f-890e-baaa0c04feb3#24bc4d02-b161-4ab6-a186-d8dd0dd9c63b#16f645a95,1470,Table - 2/7,Reliable
87,8,28,3,3,4,0,0,9,9,0,0,0,0,7,0,24,0,8.884803922,0.816993464,2.859477124,0.306372549,0.306372549,0.408496732,0,0,0.919117647,0.919117647,0,0,0,0,0.714869281,0,2.450980392,0,9.792,0,1468,0,0,1,0,0,Reliable,0,0.9999956,309D674SHZXEKZKX86B1DICSDR1BC7#46e32742-785d-49c6-9c47-0f1973c7111f#1A3MFU8FURKW3MS,1468,Dates - 5/5,Reliable
94,6,23,1,1,1,0,0,10,10,0,0,0,0,0,0,41,0,4.317471982,0.275583318,1.056402719,0.045930553,0.045930553,0.045930553,0,0,0.45930553,0.45930553,0,0,0,0,0,0,1.883152673,0,21.772,0,1468,0,0,1,0,0,Reliable,0,0.9999956,33IXYHIZB5UZTK4FL4OL2D9R4X1E21#2c2eb668-8ffe-477d-b8ad-8bd4c1a34fa9#1A3GI86L18Z71XY,1468,Dates - 2/5,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5.347593583,0,4.278074866,0,0,0,0,0,2.139037433,2.139037433,0,0,0,0,0,0,0,0,0.935,0,1468,0,1,0,0,0,Reliable,0,0.9999957,35O6H0UNLSSZ3X9UHO1AX0PVTFO5JE#fdc5c347-73ec-45aa-9835-7531e3c0ed33#1A10Z89O3MO9BND,1468,Amounts - 4/11,Reliable
87,1,29,1,1,1,0,0,13,13,0,0,0,0,0,0,35,0,8.693045564,0.099920064,2.897681855,0.099920064,0.099920064,0.099920064,0,0,1.298960831,1.298960831,0,0,0,0,0,0,3.497202238,0,10.008,0,1468,0,0,1,0,0,Reliable,0,0.9999957,375VSR8FVWLE8ZCWWHHZOVIH4VPRZY#2a1f2c78-c4be-48c8-8269-19153321df69#1ADEJNGBB7XN2X,1468,Dates - 2/5,Reliable
15,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,13,0,6.610841781,0,3.966505068,0.440722785,0.440722785,0.440722785,0,0,1.322168356,1.322168356,0,0,0,0,0,0,5.72939621,0,2.269,0,1468,0,0,0,1,0,Reliable,0,0.9999958,3BAWBGQGYLBNHWN7M6UQY8ELF8PV73#3a04f90d-90f8-49b5-805e-e077b51d1e82#1A39ONIMT6RT6S2,1468,Table - 3/7,Reliable
71,5,23,2,2,3,0,0,8,8,0,0,0,0,6,0,32,0,7.147171331,0.503321925,2.315280854,0.20132877,0.20132877,0.301993155,0,0,0.80531508,0.80531508,0,0,0,0,0.60398631,0,3.221260318,0,9.934,0,1468,0,0,1,0,0,Reliable,0,0.9999956,3BVS8WK9Q075X26X0G7NOLANQWKIBF#1f47035a-9e2c-42b6-91a7-efe0cc94eee0#1A1MYCZT6OX9G20,1468,Dates - 5/5,Reliable
15,8,29,5,5,6,0,1,6,6,0,0,0,0,0,0,0,0,3.915426782,2.088227617,7.569825111,1.305142261,1.305142261,1.566170713,0,0.261028452,1.566170713,1.566170713,0,0,0,0,0,0,0,0,3.831,0,1470,0,0,0,1,0,Reliable,0,0.99999595,3c45fe59-0482-4abd-b59f-3c27e848cd8e#ace0897c-d25b-4ee7-a72b-3376719b855a#118e5d1d8,1470,Table - 7/7,Reliable
25,9,14,2,2,2,0,0,4,4,0,0,0,0,0,0,7,0,5.493298176,1.977587343,3.076246979,0.439463854,0.439463854,0.439463854,0,0,0.878927708,0.878927708,0,0,0,0,0,0,1.538123489,0,4.551,0,1468,0,0,0,1,0,Reliable,0,0.99999595,3CESM1J3EIFHSL97T6UUEWX3R67W6F#97745634-2392-4b27-b947-5884c4a38ab5#1A2OMJ32EMOSENG,1468,Table - 1/7,Reliable
85,0,43,0,0,1,0,0,21,21,0,0,0,0,4,0,33,0,9.812976218,0,4.964211498,0,0,0.115446779,0,0,2.42438236,2.42438236,0,0,0,0,0.461787116,0,3.809743708,0,8.662,0,1470,0,0,1,0,0,Reliable,0,0.99999547,3e444e17-0e4b-463b-8d4f-d9217ec7ec01#74e9d43a-9741-46b4-b393-b3b047c4c7c7#12a599124,1470,Dates - 3/5,Reliable
