mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,step_id,DatesReha,Amounts,Dates,Table,Your Task,Prediction,Confidence,confidence_without_cal,recording_id,step_id,workunit_id,class
83,8,35,3,3,3,0,0,13,13,0,0,0,0,1,0,30,0,8.446117839,0.814083647,3.561615956,0.305281368,0.305281368,0.305281368,0,0,1.322885927,1.322885927,0,0,0,0,0.101760456,0,3.052813677,0,9.827,0,1470,0,0,1,0,0,Reliable,0,0.9999957,2af27dd9-43bc-4cdb-9f3b-aa7e86ee19a7#f810ab58-131b-4463-8ec4-c2b23d50f34a#1b4fe2a11,1470,Dates - 3/5,Reliable
83,8,35,3,3,3,0,0,13,13,0,0,0,0,1,0,30,0,8.446117839,0.814083647,3.561615956,0.305281368,0.305281368,0.305281368,0,0,1.322885927,1.322885927,0,0,0,0,0.101760456,0,3.052813677,0,9.827,0,1470,0,0,1,0,0,Reliable,0,0.9999957,2af27dd9-43bc-4cdb-9f3b-aa7e86ee19a7#f810ab58-131b-4463-8ec4-c2b23d50f34a#1b4fe2a11,1470,Dates - 3/5,Reliable
120,1,31,1,1,1,0,0,14,14,0,0,0,0,2,0,60,0,10.646792654,0.088723272,2.750421436,0.088723272,0.088723272,0.088723272,0,0,1.24212581,1.24212581,0,0,0,0,0.177446544,0,5.323396327,0,11.271,0,1470,0,0,1,0,0,Reliable,0,0.99999523,2af27dd9-43bc-4cdb-9f3b-aa7e86ee19a7#f810ab58-131b-4463-8ec4-c2b23d50f34a#1b4fe2a11,1470,Dates - 4/5,Reliable
101,4,33,2,2,3,0,0,13,13,0,0,0,0,5,0,44,0,7.716992665,0.305623472,2.521393643,0.152811736,0.152811736,0.229217604,0,0,0.993276284,0.993276284,0,0,0,0,0.38202934,0,3.361858191,0,13.088,0,1470,0,0,1,0,0,Reliable,0,0.99999547,2af27dd9-43bc-4cdb-9f3b-aa7e86ee19a7#f810ab58-131b-4463-8ec4-c2b23d50f34a#1b4fe2a11,1470,Dates - 5/5,Reliable
36,37,21,5,5,3,0,0,4,4,0,0,0,0,10,0,11,0,1.572807899,1.616497007,0.917471274,0.218445542,0.218445542,0.131067325,0,0,0.174756433,0.174756433,0,0,0,0,0.436891083,0,0.480580191,0,22.889,0,1469,0,0,1,0,0,Reliable,0,0.9999956,371DNNCG44EC4IO1RGMHBQMVT7W8T4#deeec9ac-f149-4afc-8390-61352981003d#1AHUNHPQVY8FSU,1469,Dates - 1/1,Reliable
113,12,30,3,3,4,0,0,10,10,0,0,0,0,7,0,47,0,4.236652669,0.449910018,1.124775045,0.112477504,0.112477504,0.149970006,0,0,0.374925015,0.374925015,0,0,0,0,0.26244751,0,1.76214757,0,26.672,0,1468,0,0,1,0,0,Reliable,0,0.99999535,39RRBHZ0AUD616TD51M9PS7KP1IZVF#bf633317-5a4a-41e0-bd2c-fd9a646cfe10#1A2U1YK6HXD4NMU,1468,Dates - 1/1,Reliable
230,11,53,3,3,3,0,0,22,22,0,0,0,0,3,0,110,0,6.994282934,0.334509184,1.611726067,0.091229777,0.091229777,0.091229777,0,0,0.669018368,0.669018368,0,0,0,0,0.091229777,0,3.345091838,0,32.884,0,1468,0,0,1,0,0,Reliable,0,0.99999416,3JU8CV4BRLOHXIIAHG2T32BYJ9EPOI#d048cef6-3278-4483-abb2-21de561198a7#1A1KL6MRIHQFJND,1468,Dates - 1/5,Reliable
79,0,19,1,1,1,0,0,8,8,0,0,0,0,1,0,37,0,6.36122071,0,1.529913842,0.080521781,0.080521781,0.080521781,0,0,0.644174249,0.644174249,0,0,0,0,0.080521781,0,2.979305902,0,12.419,0,1468,0,0,1,0,0,Reliable,0,0.9999957,3JU8CV4BRLOHXIIAHG2T32BYJ9EPOI#d048cef6-3278-4483-abb2-21de561198a7#1A1KL6MRIHQFJND,1468,Dates - 2/5,Reliable
84,4,22,2,2,2,0,0,8,8,0,0,0,0,0,0,36,0,5.448177455,0.259437022,1.426903619,0.129718511,0.129718511,0.129718511,0,0,0.518874043,0.518874043,0,0,0,0,0,0,2.334933195,0,15.418,0,1468,0,0,1,0,0,Reliable,0,0.9999957,3JU8CV4BRLOHXIIAHG2T32BYJ9EPOI#d048cef6-3278-4483-abb2-21de561198a7#1A1KL6MRIHQFJND,1468,Dates - 3/5,Reliable
72,0,19,1,1,1,0,0,8,8,0,0,0,0,0,0,34,0,6.003502043,0,1.584257484,0.083381973,0.083381973,0.083381973,0,0,0.667055783,0.667055783,0,0,0,0,0,0,2.834987076,0,11.993,0,1468,0,0,1,0,0,Reliable,0,0.9999957,3JU8CV4BRLOHXIIAHG2T32BYJ9EPOI#d048cef6-3278-4483-abb2-21de561198a7#1A1KL6MRIHQFJND,1468,Dates - 4/5,Reliable
72,4,23,2,2,3,0,0,8,8,0,0,0,0,6,0,32,0,7.873154729,0.437397485,2.515035539,0.218698742,0.218698742,0.328048114,0,0,0.87479497,0.87479497,0,0,0,0,0.656096227,0,3.49917988,0,9.145,0,1468,0,0,1,0,0,Reliable,0,0.9999956,3JU8CV4BRLOHXIIAHG2T32BYJ9EPOI#d048cef6-3278-4483-abb2-21de561198a7#1A1KL6MRIHQFJND,1468,Dates - 5/5,Reliable
4242,17,58,7,7,9,0,1,17,17,0,0,0,0,7,0,104,0,56.146016704,0.225007611,0.767673024,0.092650193,0.092650193,0.119121676,0,0.013235742,0.225007611,0.225007611,0,0,0,0,0.092650193,0,1.376517147,0,75.553,0,1000,0,0,0,0,1,Reliable,0,0.99998534,3K2CEDRACBDRP7Q5LHW0G8NQDCKMT5#0634932d-3c77-4f0d-8c0e-9647f6843194#1AB1EIOQNHF53T,1000,Your Task,Reliable
196,135,260,44,44,42,0,0,65,65,0,0,0,0,12,0,28,0,2.5835706,1.779500158,3.42718549,0.579985237,0.579985237,0.553622271,0,0,0.856796372,0.856796372,0,0,0,0,0.158177792,0,0.369081514,0,75.864,0,1468,0,0,1,0,0,Reliable,0,0.99999416,3NCN4N1H1GTXB3HOXWKFTT64CVUNBG#7571d40a-9aeb-4b7a-9db0-79744b5f048b#1A3CAYB4P2JUWFM,1468,Dates - 1/5,Reliable
73,44,93,16,16,15,0,0,23,23,0,0,0,0,6,0,12,0,2.770293348,1.669765853,3.529277826,0.607187583,0.607187583,0.569238359,0,0,0.872832151,0.872832151,0,0,0,0,0.227695344,0,0.455390687,0,26.351,0,1468,0,0,1,0,0,Reliable,0,0.99999523,3NCN4N1H1GTXB3HOXWKFTT64CVUNBG#7571d40a-9aeb-4b7a-9db0-79744b5f048b#1A3CAYB4P2JUWFM,1468,Dates - 2/5,Reliable
93,43,92,16,16,16,0,0,22,22,0,0,0,0,0,0,21,0,3.021540661,1.397056435,2.989050976,0.519834952,0.519834952,0.519834952,0,0,0.71477306,0.71477306,0,0,0,0,0,0,0.682283375,0,30.779,0,1468,0,0,1,0,0,Reliable,0,0.99999535,3NCN4N1H1GTXB3HOXWKFTT64CVUNBG#7571d40a-9aeb-4b7a-9db0-79744b5f048b#1A3CAYB4P2JUWFM,1468,Dates - 3/5,Reliable
76,44,97,18,18,15,0,0,23,23,0,0,0,0,8,0,18,0,2.908422946,1.683823811,3.712066128,0.688837014,0.688837014,0.574030845,0,0,0.880180628,0.880180628,0,0,0,0,0.306149784,0,0.688837014,0,26.131,0,1468,0,0,1,0,0,Reliable,0,0.9999951,3NCN4N1H1GTXB3HOXWKFTT64CVUNBG#7571d40a-9aeb-4b7a-9db0-79744b5f048b#1A3CAYB4P2JUWFM,1468,Dates - 4/5,Reliable
65,35,90,16,16,16,0,0,21,21,0,0,0,0,4,0,11,0,3.037099337,1.635361181,4.205214466,0.747593683,0.747593683,0.747593683,0,0,0.981216709,0.981216709,0,0,0,0,0.186898421,0,0.513970657,0,21.402,0,1468,0,0,1,0,0,Reliable,0,0.99999535,3NCN4N1H1GTXB3HOXWKFTT64CVUNBG#7571d40a-9aeb-4b7a-9db0-79744b5f048b#1A3CAYB4P2JUWFM,1468,Dates - 5/5,Reliable
1044,5,50,2,2,4,0,0,21,21,0,0,0,0,9,0,59,0,42.318605594,0.202675314,2.026753141,0.081070126,0.081070126,0.162140251,0,0,0.851236319,0.851236319,0,0,0,0,0.364815565,0,2.391568707,0,24.67,0,970,0,0,0,0,1,Reliable,0,0.9999863,448bf7b2-ff3a-4d9a-a7c3-8ae7aa8cfd40#08b56c67-5776-4790-9cee-e963207f86a0#11adaa083,970,Your Task,Reliable
163,18,43,3,3,3,0,0,17,17,0,0,0,0,2,0,69,0,4.383841644,0.484105212,1.156473562,0.080684202,0.080684202,0.080684202,0,0,0.457210478,0.457210478,0,0,0,0,0.053789468,0,1.855736647,0,37.182,0,1470,0,0,1,0,0,Reliable,0,0.9999951,4b73e714-ca85-4cb1-8f80-25ce4e81d977#3e874c0e-54f6-4203-a8d1-034401733965#109b547fe,1470,Dates - 1/5,Reliable
142,10,43,3,3,3,0,0,17,17,0,0,0,0,3,0,59,0,4.134998981,0.291197111,1.252147579,0.087359133,0.087359133,0.087359133,0,0,0.495035089,0.495035089,0,0,0,0,0.087359133,0,1.718062957,0,34.341,0,1470,0,0,1,0,0,Reliable,0,0.99999523,4b73e714-ca85-4cb1-8f80-25ce4e81d977#3e874c0e-54f6-4203-a8d1-034401733965#109b547fe,1470,Dates - 2/5,Reliable
