mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
22,1,9,1,1,1,0,0,3,3,0,0,0,0,0,0,8,0,7.570543703,0.344115623,3.097040606,0.344115623,0.344115623,0.344115623,0,0,1.032346869,1.032346869,0,0,0,0,0,0,2.752924983,0,2.906,0,0,0,1,0,0,23dc632d-aae4-4f9a-83eb-4806dd153f5b#dab5a25f-ba61-4536-a297-b57c5eeddb8a#10d14c09f,Dates -  2/5,1470,Reliable
15,5,10,2,2,2,0,0,2,2,0,0,0,0,0,0,2,0,3.804209992,1.268069997,2.536139995,0.507227999,0.507227999,0.507227999,0,0,0.507227999,0.507227999,0,0,0,0,0,0,0.507227999,0,3.943,0,0,0,1,0,0,bc8acb10-016f-4cdc-a4a7-2420e0acacc0#70f2bacc-ba71-4fec-bd28-878be555a160#10d14c09f,Dates -  3/5,1470,Reliable
11,2,7,1,1,1,0,0,2,2,0,0,0,0,0,0,2,0,5.073800738,0.922509225,3.228782288,0.461254613,0.461254613,0.461254613,0,0,0.922509225,0.922509225,0,0,0,0,0,0,0.922509225,0,2.168,0,0,0,1,0,0,bc8acb10-016f-4cdc-a4a7-2420e0acacc0#70f2bacc-ba71-4fec-bd28-878be555a160#10d14c09f,Dates -  4/5,1470,Reliable
64,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,32,0,16.024036054,0,5.25788683,0.250375563,0.250375563,0.250375563,0,0,2.25338007,2.25338007,0,0,0,0,0,0,8.012018027,0,3.994,0,0,0,1,0,0,d46fa258-0398-4de4-a369-f5bfc59a89a5#5cd0009d-b1cb-43b5-aba4-e673dd0b7bc1#126bc7fcf,Dates -  4/5,1470,Reliable
18,2,18,3,3,4,0,0,4,4,0,0,0,0,3,0,6,0,6.624953993,0.736105999,6.624953993,1.104158999,1.104158999,1.472211999,0,0,1.472211999,1.472211999,0,0,0,0,1.104158999,0,2.208317998,0,2.717,0,0,0,1,0,0,d46fa258-0398-4de4-a369-f5bfc59a89a5#5cd0009d-b1cb-43b5-aba4-e673dd0b7bc1#126bc7fcf,Dates -  5/5,1470,Reliable
18,2,18,3,3,4,0,0,4,4,0,0,0,0,3,0,6,0,6.624953993,0.736105999,6.624953993,1.104158999,1.104158999,1.472211999,0,0,1.472211999,1.472211999,0,0,0,0,1.104158999,0,2.208317998,0,2.717,0,0,0,1,0,0,d46fa258-0398-4de4-a369-f5bfc59a89a5#5cd0009d-b1cb-43b5-aba4-e673dd0b7bc1#126bc7fcf,Dates -  5/5,1470,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,14.150943396,0,16.509433962,2.358490566,2.358490566,2.358490566,0,0,4.716981132,4.716981132,0,0,0,0,0,0,0,0,0.424,0,0,0,0,1,0,54027d4a-d96b-47bb-bfd8-5f688a68f0b3#ecd05762-506e-4166-a55f-7f05a677ea80#1298bc9cb,Table -  2/7,1470,Reliable
4,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,14.760147601,3.6900369,25.830258303,3.6900369,3.6900369,3.6900369,0,0,7.380073801,7.380073801,0,0,0,0,0,0,0,0,0.271,0,0,0,0,1,0,54027d4a-d96b-47bb-bfd8-5f688a68f0b3#ecd05762-506e-4166-a55f-7f05a677ea80#1298bc9cb,Table -  3/7,1470,Unreliable
3,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,9.933774834,0,23.178807947,3.311258278,3.311258278,3.311258278,0,0,6.622516556,6.622516556,0,0,0,0,0,0,0,0,0.302,0,0,0,0,1,0,54027d4a-d96b-47bb-bfd8-5f688a68f0b3#ecd05762-506e-4166-a55f-7f05a677ea80#1298bc9cb,Table -  5/7,1470,Unreliable
5,0,14,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,14.084507042,0,39.436619718,5.633802817,5.633802817,5.633802817,0,0,11.267605634,11.267605634,0,0,0,0,0,0,0,0,0.355,0,0,0,0,1,0,54027d4a-d96b-47bb-bfd8-5f688a68f0b3#ecd05762-506e-4166-a55f-7f05a677ea80#1298bc9cb,Table -  6/7,1470,Unreliable
480,2,6,1,1,2,0,0,1,1,0,0,0,0,0,0,7,0,285.544318858,1.189767995,3.569303986,0.594883998,0.594883998,1.189767995,0,0,0.594883998,0.594883998,0,0,0,0,0,0,4.164187983,0,1.681,20.836,0,0,0,0,1,23a3c156-2cb6-4c76-8e40-834562cf936e#f6d4ff65-ae42-4121-a804-252593ee5c6a#12bfdd32c,Your Task,1033,Reliable
611,2,8,1,1,2,0,0,2,2,0,0,0,0,0,0,29,0,137.86101083,0.451263538,1.805054152,0.225631769,0.225631769,0.451263538,0,0,0.451263538,0.451263538,0,0,0,0,0,0,6.5433213,0,4.432,14.673,0,0,0,0,1,6c5a319a-8146-4521-adcc-0f3e4bb09f53#55d6e4fa-a559-4870-b5c6-1a5be762c420#12bfdd32c,Your Task,970,Reliable
1331,5,28,0,0,2,0,0,13,13,0,0,0,0,5,0,13,0,181.557768381,0.682035193,3.819397081,0,0,0.272814077,0,0,1.773291502,1.773291502,0,0,0,0,0.682035193,0,1.773291502,0,7.331,11.315,0,0,0,0,1,eeb8ccb7-6791-40e7-bbe6-66e3e25d109b#93f75056-4094-4a3c-89d2-b550b16bb20e#12bfdd32c,Your Task,1033,Reliable
17,5,8,1,1,1,0,0,3,2,0,0,0,0,0,0,5,0,1.818181818,0.534759358,0.855614973,0.106951872,0.106951872,0.106951872,0,0,0.320855615,0.213903743,0,0,0,0,0,0,0.534759358,0,9.35,0,0,1,0,0,0,bceffd12-13bc-4766-b15b-2082e2ec1cb2#76340396-b636-405b-9d4c-215ff2c83502#158e99a86,Amounts -  1/11,1470,Reliable
4,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6.944444444,0,6.944444444,0,0,0,0,0,3.472222222,3.472222222,0,0,0,0,0,0,0,0,0.576,0,0,1,0,0,0,bceffd12-13bc-4766-b15b-2082e2ec1cb2#76340396-b636-405b-9d4c-215ff2c83502#158e99a86,Amounts -  10/11,1470,Reliable
