mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
375,5,8,1,1,2,0,0,2,2,0,0,0,0,2,0,23,0,44.138418079,0.588512241,0.941619586,0.117702448,0.117702448,0.235404896,0,0,0.235404896,0.235404896,0,0,0,0,0.235404896,0,2.707156309,0,8.496,0,0,0,0,0,1,8e5975e1-ee1c-499f-b15b-376e45fd2181#522ae484-dfc4-47a7-b2e4-c8c1729a880d#118e5d1d8,Your Task,1033,Reliable
390,10,30,5,5,7,0,1,6,6,0,0,0,0,2,0,13,0,57.310800882,1.469507715,4.408523145,0.734753857,0.734753857,1.0286554,0,0.146950771,0.881704629,0.881704629,0,0,0,0,0.293901543,0,1.910360029,0,6.805,12.313,0,0,0,0,1,992ec47f-86a6-4ce2-af89-ebc568d12d4a#b73aa06e-872c-46f0-88f3-70f9cac1af4c#118e5d1d8,Your Task,1033,Reliable
1234,8,40,5,5,5,0,0,13,12,0,0,0,0,10,0,8,0,266.868512111,1.730103806,8.650519031,1.081314879,1.081314879,1.081314879,0,0,2.811418685,2.595155709,0,0,0,0,2.162629758,0,1.730103806,0,4.624,16.539,0,0,0,0,1,e628df3b-458f-4dfa-b6f8-939ddf0764f9#2a7781f9-a4ac-46b0-95bd-f9ff1370108e#118e5d1d8,Your Task,1033,Reliable
748,10,29,2,2,3,0,0,11,11,0,0,0,0,9,0,3,0,100.28153908,1.340662287,3.887920633,0.268132457,0.268132457,0.402198686,0,0,1.474728516,1.474728516,0,0,0,0,1.206596058,0,0.402198686,0,7.459,0,0,0,0,0,1,f1417c8c-b428-42e5-b1f5-d078743a68e2#8f31cfc2-a50d-4037-86a5-55a29217da41#118e5d1d8,Your Task,1033,Reliable
1252,0,20,0,0,2,0,0,9,9,0,0,0,0,4,0,23,0,283.065792449,0,4.521817771,0,0,0.452181777,0,0,2.034817997,2.034817997,0,0,0,0,0.904363554,0,5.200090436,0,4.423,17.021,0,0,0,0,1,2b1e08ee-3604-4877-ab3d-8ebf0920b41f#79b4e62b-4ec0-4085-ad15-406cbd681080#1489f0bf8,Your Task,970,Reliable
202,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0,768.060836502,0,15.209125475,0,0,0,0,0,7.604562738,7.604562738,0,0,0,0,0,0,19.011406844,0,0.263,190.463,0,1,0,0,0,99f91eed-4478-4038-8da6-f4cae90ddfcd#cbb46f64-008d-4a20-acda-a19ac4cc4e44#1489f0bf8,Amounts -  1/10,1470,Reliable
163,1,5,0,0,2,0,0,2,1,0,0,0,0,0,1,16,0,35.205183585,0.215982721,1.079913607,0,0,0.431965443,0,0,0.431965443,0.215982721,0,0,0,0,0,0.215982721,3.455723542,0,4.63,30.809,0,0,0,0,1,eade9fe6-0cb7-4dff-b1e4-095e995ee214#69ca732a-6c62-40d2-abc4-13295178b443#1489f0bf8,Your Task,970,Reliable
24,5,9,1,1,1,0,0,3,3,0,0,0,0,5,0,9,0,5.126014524,1.067919692,1.922255446,0.213583938,0.213583938,0.213583938,0,0,0.640751815,0.640751815,0,0,0,0,1.067919692,0,1.922255446,0,4.682,0,0,0,1,0,0,3B286OTISETW93LBCKSR5B5GHCOAJK#50345e5a-5e12-493d-b22b-316e99eaa370#1A1F3PHQIZ422H5,Dates -  3/5,1468,Reliable
19,5,9,1,1,1,0,0,3,3,0,0,0,0,4,0,7,0,4.976427449,1.309586171,2.357255107,0.261917234,0.261917234,0.261917234,0,0,0.785751702,0.785751702,0,0,0,0,1.047668937,0,1.833420639,0,3.818,0,0,0,1,0,0,3B286OTISETW93LBCKSR5B5GHCOAJK#50345e5a-5e12-493d-b22b-316e99eaa370#1A1F3PHQIZ422H5,Dates -  4/5,1468,Reliable
13,5,8,1,1,2,0,0,2,2,0,0,0,0,4,0,3,0,3.866745985,1.487209994,2.37953599,0.297441999,0.297441999,0.594883998,0,0,0.594883998,0.594883998,0,0,0,0,1.189767995,0,0.892325996,0,3.362,0,0,0,1,0,0,3B286OTISETW93LBCKSR5B5GHCOAJK#50345e5a-5e12-493d-b22b-316e99eaa370#1A1F3PHQIZ422H5,Dates -  5/5,1468,Reliable
