mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,step_id,DatesReha,Amounts,Dates,Table,Your Task,Prediction,Confidence,confidence_without_cal,recording_id,step_id,workunit_id,class
210,8,40,3,3,5,0,0,15,14,0,0,0,0,5,0,72,0,4.914349902,0.18721333,0.936066648,0.070204999,0.070204999,0.117008331,0,0,0.351024993,0.327623327,0,0,0,0,0.117008331,0,1.684919966,0,42.732,0,1033,0,0,0,0,1,Reliable,0,0.99998784,0d013e83-3dda-4f00-9574-26b449e45bc9#f1e08e06-4948-4628-8619-ae8e808ec61f#118073308,1033,Your Task,Reliable
7714,11,43,3,3,5,0,0,16,16,0,0,0,0,7,0,94,0,234.318520094,0.334133228,1.306157164,0.091127244,0.091127244,0.15187874,0,0,0.486011968,0.486011968,0,0,0,0,0.212630236,0,2.855320312,0,32.921,65.231,970,0,0,0,0,1,Reliable,0,0.9999862,10d9071b-e806-4aee-836f-2f5e6ceb9111#eeee4bc5-4754-4a76-a397-bf7302e2c967#1eeb111cb,970,Your Task,Reliable
2633,9,61,3,3,5,0,0,25,25,0,0,0,0,10,0,70,0,93.968593862,0.321199143,2.177016417,0.107066381,0.107066381,0.178443969,0,0,0.892219843,0.892219843,0,0,0,0,0.356887937,0,2.49821556,0,28.02,0,1033,0,0,0,0,1,Reliable,0,0.9999865,1d340e59-36ac-445b-8350-a76ecf8ada43#54207922-c08f-4546-8e04-2adc85a1b68b#111b06828,1033,Your Task,Reliable
1876,10,21,4,4,5,0,0,4,4,0,0,0,0,0,0,26,0,264.598025388,1.410437236,2.961918195,0.564174894,0.564174894,0.705218618,0,0,0.564174894,0.564174894,0,0,0,0,0,0,3.667136812,0,7.09,83.41,971,0,0,0,0,1,Reliable,0,0.9999931,302OLP89DZJ91PF52SB5I7SMVC4AC5#bed8d066-d256-4c1d-a25d-50f21d9281d5#1AEYJGWTTCE2TZ,971,Your Task,Reliable
1043,52,31,6,6,7,0,0,6,6,0,0,0,0,8,0,54,0,22.19526728,1.106571331,0.659686755,0.127681307,0.127681307,0.148961525,0,0,0.127681307,0.127681307,0,0,0,0,0.170241743,0,1.149131767,0,46.992,0,1000,0,0,0,0,1,Reliable,0,0.99998856,31KPKEKW4APUQ7PHWQIHIHAR45TB09#37995a48-3b97-483a-a11f-660f48e78aa3#1A3T1HKHIECUH55,1000,Your Task,Reliable
2937,13,62,8,8,9,0,2,18,17,0,0,0,0,8,0,91,0,55.374347178,0.24510266,1.168951149,0.150832406,0.150832406,0.169686457,0,0.037708102,0.339372914,0.320518863,0,0,0,0,0.150832406,0,1.715718622,0,53.039,0,1099,0,0,0,0,1,Reliable,0,0.9999881,334ZEL5JX6REAAY29X6NY7G96WXOSF#01350fae-e0ae-4260-9e93-c519869b9e6b#1A2UVR1WGQIBDHX,1099,Your Task,Reliable
2423,17,34,2,2,4,0,0,13,13,0,0,0,0,17,0,105,0,54.094481157,0.379532059,0.759064119,0.044650831,0.044650831,0.089301661,0,0,0.290230398,0.290230398,0,0,0,0,0.379532059,0,2.344168602,0,44.792,0,1001,0,0,0,0,1,Reliable,0,0.99998474,33EEIIWHK7JXNESMI53WYZVGK17QVS#bb9a21b4-e496-4a6e-87f7-f7151af11d0e#1ARE3ZYC1D7FTH,1001,Your Task,Reliable
82,6,23,1,1,1,0,0,10,10,0,0,0,0,0,0,37,0,8.280319095,0.605877007,2.322528527,0.100979501,0.100979501,0.100979501,0,0,1.009795012,1.009795012,0,0,0,0,0,0,3.736241543,0,9.903,0,1468,0,0,1,0,0,Reliable,0,0.9999957,34D9ZRXCYR6P8641ZE15XCW4HFTAS2#944abb31-9c35-448e-bf7a-4d15d5e44feb#1A61CJY3SJ28B6,1468,Dates - 2/5,Unreliable
2298,11,34,2,2,4,0,0,13,13,0,0,0,0,10,0,116,0,60.706926613,0.290590162,0.898187774,0.052834575,0.052834575,0.10566915,0,0,0.343424737,0.343424737,0,0,0,0,0.264172875,0,3.064405347,0,37.854,0,1099,0,0,0,0,1,Reliable,0,0.99998665,362E9TQF2H21OJE8G2Z1PW1K6C4GIS#2bb322cd-b784-4270-a7e0-f432826b4fe9#1A1HVKEVCXHEJ3Z,1099,Your Task,Reliable
4981,3,22,0,0,2,0,0,10,10,0,0,0,0,5,0,96,0,119.819104664,0.072165692,0.529215078,0,0,0.048110462,0,0,0.240552308,0.240552308,0,0,0,0,0.120276154,0,2.309302158,0,41.571,43.317,970,0,0,0,0,1,Reliable,0,0.99998736,3aa80efc-1870-477e-a371-a5449d5d25bd#9459181e-7538-4712-99ce-4edb77a0ea03#111d0d877,970,Your Task,Reliable
