mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,step_id,DatesReha,Amounts,Dates,Table,Your Task,Prediction,Confidence,confidence_without_cal,recording_id,step_id,workunit_id,class
158,18,44,5,5,6,0,0,14,14,0,0,0,0,7,0,50,0,4.045887535,0.460923896,1.126702858,0.128034416,0.128034416,0.153641299,0,0,0.358496364,0.358496364,0,0,0,0,0.179248182,0,1.280344157,0,39.052,23.557,1470,0,0,1,0,0,Reliable,0,0.999995,0b0afdf3-fe74-4146-8ec1-c8ce13a0f1ca#2b6343a7-10ec-4bfc-8b21-7511c6022134#1d0e694be,1470,Dates -  1/1,Reliable
162,9,54,5,5,6,0,0,19,19,0,0,0,0,4,0,72,0,5.392989114,0.299610506,1.797663038,0.166450281,0.166450281,0.199740338,0,0,0.632511069,0.632511069,0,0,0,0,0.133160225,0,2.396884051,0,30.039,0,1470,0,0,1,0,0,Reliable,0,0.9999949,2e6cef55-88fe-4dc3-ac5e-30c15c1203f8#54442da2-dddd-4395-a39f-1337a399f487#1c5e2d9db,1470,Dates -  1/1,Reliable
5543,18,33,3,3,5,0,0,11,11,0,0,0,0,3,2,66,0,132.826915243,0.43133402,0.790779037,0.071889003,0.071889003,0.119815006,0,0,0.263593012,0.263593012,0,0,0,0,0.071889003,0.047926002,1.581558074,0,41.731,103.031,1099,0,0,0,0,1,Reliable,0,0.99999416,31J7RYECZL26A5WBJMBBAPP6LJML12#3d4dbbf1-11c4-4695-9f86-96d529d9b898#1A2V29E7SD31HRF,1099,Your Task,Reliable
4391,12,22,3,3,4,0,0,6,6,0,0,0,0,2,0,35,0,203.957452738,0.55738771,1.021877468,0.139346927,0.139346927,0.185795903,0,0,0.278693855,0.278693855,0,0,0,0,0.092897952,0,1.625714153,0,21.529,188.147,971,0,0,0,0,1,Reliable,0,0.9999943,32204AGAABO1SO3OAKHGPK056SXHGU#830d0cee-96bb-4453-b96e-a77951b29f18#1A3VV07FCCSZ7JY,971,Your Task,Reliable
10872,83,35,2,3,3,0,0,14,13,0,0,0,0,25,7,59,0,83.23253357,0.635421292,0.267948738,0.015311356,0.022967035,0.022967035,0,0,0.107179495,0.099523817,0,0,0,0,0.191391955,0.053589748,0.451685015,0,130.622,68.83,970,0,0,0,0,1,Reliable,0,0.9999945,345b46cd-8d5f-457f-ac7a-464246ca5f3d#a5548c73-5805-40e2-b0fb-0fca59b42940#1adbd48db,970,Your Task,Reliable
1849,13,31,3,3,4,0,0,11,10,0,0,0,0,9,0,37,0,75.931173258,0.533858979,1.273048335,0.123198226,0.123198226,0.164264301,0,0,0.451726828,0.410660753,0,0,0,0,0.369594678,0,1.519444787,0,24.351,125.926,1099,0,0,0,0,1,Reliable,0,0.9999944,39O0SQZVJNJVOP6QDMPGXBPIUXB7RB#3135160c-ebe6-4eed-9b13-295ce3e8b518#1A1M5EI5AYF23AX,1099,Your Task,Reliable
272,10,17,3,3,4,0,0,4,3,0,0,0,0,0,0,16,0,44.847485573,1.648804617,2.802967848,0.494641385,0.494641385,0.659521847,0,0,0.659521847,0.494641385,0,0,0,0,0,0,2.638087387,0,6.065,69.31,1099,0,0,0,0,1,Reliable,0,0.99999416,3KI0JD2ZU1U22686LYMIMGYMYBY76G#e069d0f3-b567-4662-b12d-2ee5bf83f2e4#1A1S5NVUZ1PIRBG,1099,Your Task,Reliable
7492,18,22,4,4,6,0,0,4,4,0,0,0,0,3,0,27,0,576.929000462,1.386108116,1.694132142,0.308024026,0.308024026,0.462036039,0,0,0.308024026,0.308024026,0,0,0,0,0.231018019,0,2.079162175,0,12.986,345.019,971,0,0,0,0,1,Reliable,0,0.9999945,3UQ1LLR26AK24T9BF544LQI9PETALI#3742aa1f-2d87-40ee-9713-c847b64044d7#1A107UPWGLFTOH6,971,Your Task,Reliable
2129,27,45,6,6,9,0,0,12,12,0,0,0,0,3,0,52,0,48.775458773,0.618570872,1.030951454,0.137460194,0.137460194,0.206190291,0,0,0.274920388,0.274920388,0,0,0,0,0.068730097,0,1.19132168,0,43.649,306.47,1000,0,0,0,0,1,Reliable,0,0.9999945,3W0KKJIARRLD1ZYEX78PAZZZAQQ8KB#1891dae0-d117-4d3c-b0b4-a0a8251dfe5c#1A2FLIJ9UW1V2BD,1000,Your Task,Reliable
2129,27,45,6,6,9,0,0,12,12,0,0,0,0,3,0,52,0,48.775458773,0.618570872,1.030951454,0.137460194,0.137460194,0.206190291,0,0,0.274920388,0.274920388,0,0,0,0,0.068730097,0,1.19132168,0,43.649,306.47,1000,0,0,0,0,1,Reliable,0,0.9999945,3W0KKJIARRLD1ZYEX78PAZZZAQQ8KB#1891dae0-d117-4d3c-b0b4-a0a8251dfe5c#1A2FLIJ9UW1V2BD,1000,Your Task,Reliable
