mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,step_id,DatesReha,Amounts,Dates,Table,Your Task,Prediction,Confidence,confidence_without_cal,recording_id,step_id,workunit_id,class
1083,7,32,2,2,4,0,0,12,12,0,0,0,0,5,0,119,0,23.681448439,0.153065687,0.699728855,0.043733053,0.043733053,0.087466107,0,0,0.262398321,0.262398321,0,0,0,0,0.109332634,0,2.60211668,0,45.732,0,1000,0,0,0,0,1,Reliable,0,0.9999851,34HEO7RUG66D7R4OKP1072R8V9SRA5#28897e49-b4cd-40c5-93bf-f78f43c68c3b#1A2706PECE4BTXT,1000,Your Task,Reliable
3134,10,39,3,3,5,0,0,14,14,0,0,0,0,7,0,61,0,81.54662781,0.260199833,1.014779351,0.07805995,0.07805995,0.130099917,0,0,0.364279767,0.364279767,0,0,0,0,0.182139883,0,1.587218984,0,38.432,15.506,1000,0,0,0,0,1,Reliable,0,0.9999882,3BAWBGQGYLBNHWN7M6UQY8ELF7Z7VN#a179c897-fcc2-4b44-9851-66257d269b3f#1AB4UCFTHEIRLO,1000,Your Task,Reliable
4714,22,72,11,11,13,0,1,18,18,0,0,0,0,7,0,113,0,59.157934367,0.276087093,0.903557759,0.138043546,0.138043546,0.163142373,0,0.012549413,0.22588944,0.22588944,0,0,0,0,0.087845893,0,1.418083705,0,79.685,0,1000,0,0,0,0,1,Reliable,0,0.9999851,3XBYQ44Z6PGNUJKJPJ2NP6PHBDRWTX#d8f97678-4156-4364-8747-004d842e9ca5#1AJI0OF83WY6QF,1000,Your Task,Reliable
2613,11,39,3,3,5,0,0,14,14,0,0,0,0,6,0,91,0,71.307717498,0.300185569,1.064294291,0.081868792,0.081868792,0.136447986,0,0,0.382054361,0.382054361,0,0,0,0,0.163737583,0,2.483353346,0,36.644,14.457,1000,0,0,0,0,1,Reliable,0,0.9999871,31YWE12TE0OFLLS2MLV8MTB6VI77XQ#33428c5c-320b-49d4-b492-46498180b21f#1AGFWS4MFMICJ5,1000,Your Task,Reliable
4514,29,55,6,6,7,0,0,18,18,0,0,0,0,15,0,91,0,58.074310416,0.373095924,0.707595718,0.07719226,0.07719226,0.090057637,0,0,0.231576781,0.231576781,0,0,0,0,0.19298065,0,1.17074928,0,77.728,0,1000,0,0,0,0,1,Reliable,0,0.99998534,3RWB1RTQDJZECQVUAZDX6GLY4348PQ#a2cf2312-0044-4a37-959f-8e8efbdc50ef#1A1TX7VG682OFDO,1000,Your Task,Reliable
2249,7,32,2,2,4,0,0,12,12,0,0,0,0,7,0,63,0,57.740693196,0.179717587,0.82156611,0.051347882,0.051347882,0.102695764,0,0,0.308087291,0.308087291,0,0,0,0,0.179717587,0,1.61745828,0,38.95,0,1000,0,0,0,0,1,Reliable,0,0.999987,3RDTX9JRTYDPKPA4J5PU6QPOOFG979#13627f8f-5a9c-4722-8232-dccb022baf20#1AYX0EWP48PYJG,1000,Your Task,Reliable
5535,22,37,4,4,5,0,0,12,12,0,0,0,0,11,0,96,0,68.012582635,0.270330048,0.454645991,0.049150918,0.049150918,0.061438647,0,0,0.147452754,0.147452754,0,0,0,0,0.135165024,0,1.179622029,0,81.382,12.87,1000,0,0,0,0,1,Reliable,0,0.99998593,3Q2T3FD0ONKMQQSB62Q9YVJSJC1M3G#0b82d918-0b7a-41a8-9369-2ae48627499a#1A2OPZ9V4LHZP39,1000,Your Task,Reliable
3630,22,32,2,2,4,0,0,12,12,0,0,0,0,11,0,88,0,100.378840251,0.608356608,0.884882338,0.055305146,0.055305146,0.110610292,0,0,0.331830877,0.331830877,0,0,0,0,0.304178304,0,2.43342643,0,36.163,26.315,1000,0,0,0,0,1,Reliable,0,0.99998796,3ZG552ORAMGGVVQ1GUDV2HXD4RCV2U#a5bf477a-ff71-4bf4-8e46-3549d9a9be95#1A27ZS8SAIX3YC1,1000,Your Task,Reliable
586,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,13,0,155.975512377,0,1.064679265,0,0,0.532339633,0,0,0.266169816,0.266169816,0,0,0,0,0,0,3.460207612,0,3.757,24.64,1001,0,0,0,0,1,Reliable,0,0.9999912,3MGHRFQY2L1Q3FIS6IW1QS8SPAUY0M#e422ae83-3c4f-46cc-9697-21d65d2842a0#1A22AM327QRSABB,1001,Your Task,Reliable
2898,15,67,4,4,7,0,0,26,26,0,0,0,0,10,0,33,0,112.260313771,0.581057525,2.595390277,0.154948673,0.154948673,0.271160178,0,0,1.007166376,1.007166376,0,0,0,0,0.387371683,0,1.278326554,0,25.815,92.351,1000,0,0,0,0,1,Reliable,0,0.99999213,3NSM4HLQNR65I6W5W69MSCW835BQQ9#6523afd0-0164-4a4b-9f02-a607325446fc#1A2FYK7F1LF1HQS,1000,Your Task,Reliable
