mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
68,34,21,4,4,4,0,1,4,4,0,0,0,0,27,0,9,0,2.574489835,1.287244917,0.795063037,0.151440579,0.151440579,0.151440579,0,0.037860145,0.151440579,0.151440579,0,0,0,0,1.022223905,0,0.340741302,0,26.413,15.478,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  1/11,1470,Reliable
16,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.054738976,0,1.013684744,0,0,0,0,0,0.506842372,0.506842372,0,0,0,0,0,0,1.013684744,0,3.946,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  10/11,1470,Reliable
21,5,8,1,1,2,0,0,2,2,0,0,0,0,0,0,4,0,3.078727459,0.733030347,1.172848556,0.146606069,0.146606069,0.293212139,0,0,0.293212139,0.293212139,0,0,0,0,0,0,0.586424278,0,6.821,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  11/11,1470,Reliable
18,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,2.874480996,0,0.638773555,0,0,0,0,0,0.319386777,0.319386777,0,0,0,0,0,0,0.638773555,0,6.262,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  2/11,1470,Reliable
25,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,3.909304144,0,0.625488663,0,0,0,0,0,0.312744332,0.312744332,0,0,0,0,0,0,0.938232995,0,6.395,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  3/11,1470,Reliable
16,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,3.956478734,0,0.989119683,0,0,0,0,0,0.494559842,0.494559842,0,0,0,0,0,0,0.989119683,0,4.044,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  4/11,1470,Reliable
15,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.552352049,0,1.213960546,0,0,0,0,0,0.606980273,0.606980273,0,0,0,0,0,0,1.213960546,0,3.295,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  5/11,1470,Reliable
16,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.744958482,0,1.18623962,0,0,0,0,0,0.59311981,0.59311981,0,0,0,0,0,0,1.18623962,0,3.372,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  6/11,1470,Reliable
16,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.822182037,0,1.205545509,0,0,0,0,0,0.602772755,0.602772755,0,0,0,0,0,0,1.205545509,0,3.318,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  7/11,1470,Reliable
18,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,3.749218913,0,0.833159758,0,0,0,0,0,0.416579879,0.416579879,0,0,0,0,0,0,0.833159758,0,4.801,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  8/11,1470,Reliable
16,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.508312201,0,1.12707805,0,0,0,0,0,0.563539025,0.563539025,0,0,0,0,0,0,1.12707805,0,3.549,0,0,1,0,0,0,6b464381-6564-4fe6-8693-f2dc176599cd#d3b8726f-a925-4df8-a63b-0e2120dc1a71#161a68ea1,Amounts -  9/11,1470,Reliable
63,8,94,8,8,8,0,0,13,13,22,0,22,0,0,0,5,22,1.885662975,0.239449267,2.813528884,0.239449267,0.239449267,0.239449267,0,0,0.389105058,0.389105058,0.658485483,0,0.658485483,0,0,0,0.149655792,0.658485483,33.41,0,1,0,0,0,0,016619d6-ec2d-40cb-a754-74babe7a47f6#66043016-0872-4404-a502-0452d93e82e9#162028a1c,DatesReha -  1/3,2289,Unreliable
32,7,77,7,7,7,0,0,12,12,16,0,16,0,0,0,2,15,1.814161801,0.396847894,4.365326833,0.396847894,0.396847894,0.396847894,0,0,0.680310675,0.680310675,0.9070809,0,0.9070809,0,0,0,0.113385113,0.850388344,17.639,0,1,0,0,0,0,016619d6-ec2d-40cb-a754-74babe7a47f6#66043016-0872-4404-a502-0452d93e82e9#162028a1c,DatesReha -  2/3,2289,Unreliable
39,7,72,7,7,9,0,0,11,12,13,0,13,0,0,0,1,10,2.027343141,0.363882102,3.742787337,0.363882102,0.363882102,0.467848417,0,0,0.571814732,0.623797889,0.675781047,0,0.675781047,0,0,0,0.051983157,0.519831575,19.237,0,1,0,0,0,0,016619d6-ec2d-40cb-a754-74babe7a47f6#66043016-0872-4404-a502-0452d93e82e9#162028a1c,DatesReha -  3/3,2289,Unreliable
36,3,33,3,3,3,0,0,5,5,7,0,7,0,1,0,7,6,2.244249112,0.187020759,2.057228352,0.187020759,0.187020759,0.187020759,0,0,0.311701266,0.311701266,0.436381772,0,0.436381772,0,0.062340253,0,0.436381772,0.374041519,16.041,0,1,0,0,0,0,a97f6cc8-b607-4b28-9e27-b7240b6680a4#48bde5ec-9e8b-4f37-bec0-1c517148e09c#162028a1c,DatesReha -  1/3,2289,Unreliable
