mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,Confidence,recording_id,step_id,class
12,4,7,1,1,1,0,0,2,2,0,0,0,0,0,2,0,0,5.873715124816446,1.957905041605482,3.4263338228095934,0.4894762604013705,0.4894762604013705,0.4894762604013705,0.0,0.0,0.978952520802741,0.978952520802741,0.0,0.0,0.0,0.0,0.0,0.978952520802741,0.0,0.0,2.043,0.0,0.9980642,b4506c6b-39e5-4ab8-945d-41cba1ccf375#ffdee02e-83ab-446f-9ec4-6b1f0e3051d0#1dc2a1ef9b4506c6b-39e5-4ab8-945d-41cba1ccf375,1470,Reliable
3,0,8,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,19.73684210526316,0.0,52.631578947368425,6.578947368421053,6.578947368421053,6.578947368421053,0.0,6.578947368421053,13.157894736842106,13.157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.9922908,3b56c210-814f-4172-8f72-6e68f7dd5834#8f627d0b-1cce-4978-8e52-cd61cc844ca3#15d84edfd,1470,Unreliable
7,2,20,2,2,2,0,0,3,3,4,0,4,0,0,0,0,2,3.200731595793324,0.9144947416552356,9.144947416552355,0.9144947416552356,0.9144947416552356,0.9144947416552356,0.0,0.0,1.3717421124828533,1.3717421124828533,1.8289894833104712,0.0,1.8289894833104712,0.0,0.0,0.0,0.0,0.9144947416552356,2.187,0.0,0.99099004,5226015d-0cd6-4dd3-ab11-bb957e4e195d#ee8fbeaa-349b-46b2-b203-9e80dfaadb22#113ca0559,1470,Reliable
7,2,20,2,2,2,0,0,3,3,4,0,4,0,0,0,0,2,3.1832651205093225,0.9095043201455209,9.095043201455209,0.9095043201455209,0.9095043201455209,0.9095043201455209,0.0,0.0,1.364256480218281,1.364256480218281,1.8190086402910413,0.0,1.8190086402910413,0.0,0.0,0.0,0.0,0.9095043201455209,2.199,0.0,0.990875,5226015d-0cd6-4dd3-ab11-bb957e4e195d#ee8fbeaa-349b-46b2-b203-9e80dfaadb22#113ca0559,1470,Reliable
6,2,20,2,2,2,0,0,3,3,4,0,4,0,0,0,0,2,2.6536930561698364,0.8845643520566121,8.84564352056612,0.8845643520566121,0.8845643520566121,0.8845643520566121,0.0,0.0,1.3268465280849182,1.3268465280849182,1.7691287041132242,0.0,1.7691287041132242,0.0,0.0,0.0,0.0,0.8845643520566121,2.261,0.0,0.99024993,5226015d-0cd6-4dd3-ab11-bb957e4e195d#ee8fbeaa-349b-46b2-b203-9e80dfaadb22#113ca0559,1470,Reliable
7,2,20,2,2,2,0,0,3,3,4,0,4,0,0,0,0,2,3.0501089324618738,0.8714596949891068,8.714596949891067,0.8714596949891068,0.8714596949891068,0.8714596949891068,0.0,0.0,1.30718954248366,1.30718954248366,1.7429193899782136,0.0,1.7429193899782136,0.0,0.0,0.0,0.0,0.8714596949891068,2.295,0.0,0.9898754,5226015d-0cd6-4dd3-ab11-bb957e4e195d#ee8fbeaa-349b-46b2-b203-9e80dfaadb22#113ca0559,1470,Reliable
7,2,20,2,2,2,0,0,3,3,4,0,4,0,0,0,0,2,3.040834057341442,0.8688097306689835,8.688097306689835,0.8688097306689835,0.8688097306689835,0.8688097306689835,0.0,0.0,1.3032145960034751,1.3032145960034751,1.737619461337967,0.0,1.737619461337967,0.0,0.0,0.0,0.0,0.8688097306689835,2.302,0.0,0.989783,5226015d-0cd6-4dd3-ab11-bb957e4e195d#ee8fbeaa-349b-46b2-b203-9e80dfaadb22#113ca0559,1470,Reliable
7,2,20,2,2,2,0,0,3,3,4,0,4,0,0,0,0,2,2.9774564015312635,0.8507018290089324,8.507018290089324,0.8507018290089324,0.8507018290089324,0.8507018290089324,0.0,0.0,1.2760527435133986,1.2760527435133986,1.7014036580178649,0.0,1.7014036580178649,0.0,0.0,0.0,0.0,0.8507018290089324,2.351,0.0,0.9891284,5226015d-0cd6-4dd3-ab11-bb957e4e195d#ee8fbeaa-349b-46b2-b203-9e80dfaadb22#113ca0559,1470,Reliable
3,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,20.27027027027027,0.0,47.2972972972973,6.756756756756757,6.756756756756757,6.756756756756757,0.0,0.0,13.513513513513514,13.513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,0.0,0.9889972,3b56c210-814f-4172-8f72-6e68f7dd5834#8f627d0b-1cce-4978-8e52-cd61cc844ca3#15d84edfd,1470,Unreliable
5,0,16,3,3,2,0,0,4,4,0,0,0,0,0,0,0,0,11.415525114155251,0.0,36.529680365296805,6.849315068493151,6.849315068493151,4.566210045662101,0.0,0.0,9.1324200913242,9.1324200913242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438,0.0,0.97835207,02ec8db9-62c4-45b0-abcd-5f784ef42d43#ed51a828-0133-468f-98bf-feb9592660e5#1298bc9cb,1470,Reliable
