mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,5,0,8.896797153,0,12.455516014,1.779359431,1.779359431,1.779359431,0,0,3.558718861,3.558718861,0,0,0,0,0,0,8.896797153,0,0.562,0,0,0,0,1,0,33QQ60S6ASU9M6YNWHZCN72EPUXU08#f0845011-83ce-4222-9651-005bda7d008d#1A39ONIMT6RT6S2,1468,Table - 3/7,Reliable
26,1,11,1,1,1,0,0,4,4,0,0,0,0,0,0,9,0,8.306709265,0.319488818,3.514376997,0.319488818,0.319488818,0.319488818,0,0,1.277955272,1.277955272,0,0,0,0,0,0,2.875399361,0,3.13,0,0,0,1,0,0,3ATYLI1PRTELB7FCM3X966PL6HEJOQ#a54c7073-dcb2-49ab-b416-759651163aeb#1A4Y7I8J2079AJ,1468,Dates - 3/5,Reliable
34,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,13,0,6.945863126,0,2.655771195,0.204290092,0.204290092,0.204290092,0,0,1.02145046,1.02145046,0,0,0,0,0,0,2.655771195,0,4.895,0,0,0,1,0,0,3B9J25CZ25PD1L1ZJSXW37MRDMACS4#dd962d7c-eeba-4f62-b4a9-93578c10b78b#1AFE0E86DWBBGA,1468,Dates - 3/5,Reliable
775,5,14,2,2,4,0,0,3,3,0,0,0,0,0,0,16,0,176.859881333,1.141031492,3.194888179,0.456412597,0.456412597,0.912825194,0,0,0.684618895,0.684618895,0,0,0,0,0,0,3.651300776,0,4.382,32.523,0,0,0,0,1,3D5G8J4N5AGAFUKEZ9XR34620DBVTK#0b2a1c9d-2548-4e13-8a3d-cddb5c3fbfba#1A365Y31CAC3DN5,1000,Your Task,Reliable
41,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,19,0,8.239549839,0,3.014469453,0.20096463,0.20096463,0.20096463,0,0,1.205787781,1.205787781,0,0,0,0,0,0,3.818327974,0,4.976,0,0,0,1,0,0,3D7VY91L659RTLWOLV5FGEH33D5MBA#045f0b21-2444-473d-b2ed-980a67b495f0#1A29I22QPVPA5KP,1468,Dates - 3/5,Reliable
41,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,18,0,8.606213266,0,3.14861461,0.209907641,0.209907641,0.209907641,0,0,1.259445844,1.259445844,0,0,0,0,0,0,3.778337531,0,4.764,0,0,0,1,0,0,3D7VY91L659RTLWOLV5FGEH33D5MBA#045f0b21-2444-473d-b2ed-980a67b495f0#1A29I22QPVPA5KP,1468,Dates - 4/5,Reliable
41,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,18,0,8.99122807,0,3.289473684,0.219298246,0.219298246,0.219298246,0,0,1.315789474,1.315789474,0,0,0,0,0,0,3.947368421,0,4.56,0,0,0,1,0,0,3DW3BNF1GHURHASQWBMWC8AFMZGV8J#16698727-484d-4d75-a0bf-ef7a09641725#1AFE0E86DWBBGA,1468,Dates - 4/5,Reliable
26,2,10,1,1,2,0,0,3,3,0,0,0,0,3,0,9,0,6.725297465,0.517330574,2.586652871,0.258665287,0.258665287,0.517330574,0,0,0.775995861,0.775995861,0,0,0,0,0.775995861,0,2.327987584,0,3.866,0,0,0,1,0,0,3G57RS03HHHZX1BMA3VIYJ3DNBX25R#314ad1be-d091-4e82-96da-a6b8292edcd4#1A29I22QPVPA5KP,1468,Dates - 5/5,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,10.600706714,0,12.367491166,1.766784452,1.766784452,1.766784452,0,0,3.533568905,3.533568905,0,0,0,0,0,0,0,0,0.566,0,0,0,0,1,0,3GMLHYZ0LE96J1U84PALFZWY17AUY7#8f0aa89f-b6e1-4e47-bca6-6c054543e09a#1AFE0E86DWBBGA,1468,Table - 5/7,Reliable
15,0,10,1,1,2,0,0,3,3,0,0,0,0,0,0,1,0,3.395970115,0,2.263980077,0.226398008,0.226398008,0.452796015,0,0,0.679194023,0.679194023,0,0,0,0,0,0,0.226398008,0,4.417,0,0,0,1,0,0,3J5XXLQDHMN5GDMKKUR0LR246E53VI#aa17fc7e-1ff3-4e96-8cb3-66aedc999105#1A365Y31CAC3DN5,1468,Dates - 4/5,Reliable
