mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
68,2,30,2,2,8,0,0,9,9,0,0,0,0,0,0,34,0,16.907011437,0.497265042,7.458975634,0.497265042,0.497265042,1.989060169,0,0,2.23769269,2.23769269,0,0,0,0,0,0,8.453505719,0,4.022,0,0,0,1,0,0,98e8bc78-5c46-4570-bef4-29467fa4aa23#65d87223-c6b1-42a0-9402-10be9a8fbfd2#17b185eef,Dates -  2/5,1470,Reliable
70,2,30,2,2,8,0,0,9,9,0,0,0,0,0,0,34,0,17.027487229,0.486499635,7.297494527,0.486499635,0.486499635,1.945998541,0,0,2.189248358,2.189248358,0,0,0,0,0,0,8.270493797,0,4.111,0,0,0,1,0,0,98e8bc78-5c46-4570-bef4-29467fa4aa23#65d87223-c6b1-42a0-9402-10be9a8fbfd2#17b185eef,Dates -  3/5,1470,Reliable
56,2,24,2,2,4,0,0,8,8,0,0,0,0,1,0,24,0,12.606933814,0.450247636,5.402971634,0.450247636,0.450247636,0.900495272,0,0,1.800990545,1.800990545,0,0,0,0,0.225123818,0,5.402971634,0,4.442,0,0,0,1,0,0,a623c0c7-5784-453b-b97e-5ed721e31dc8#217d57ad-3396-48fc-b046-b8da3027a527#17b185eef,Dates -  4/5,1470,Reliable
72,2,30,2,2,8,0,0,9,9,0,0,0,0,1,0,35,0,18.045112782,0.501253133,7.518796992,0.501253133,0.501253133,2.005012531,0,0,2.255639098,2.255639098,0,0,0,0,0.250626566,0,8.771929825,0,3.99,0,0,0,1,0,0,d679b6b7-2fe1-4a1c-bc61-2a71dac06233#864eac7a-c92e-4980-8382-355a1b365615#17b185eef,Dates -  2/5,1470,Reliable
76,3,30,2,2,8,0,0,9,9,0,0,0,0,0,0,34,0,17.094017094,0.674763833,6.747638327,0.449842555,0.449842555,1.79937022,0,0,2.024291498,2.024291498,0,0,0,0,0,0,7.647323437,0,4.446,0,0,0,1,0,0,d679b6b7-2fe1-4a1c-bc61-2a71dac06233#864eac7a-c92e-4980-8382-355a1b365615#17b185eef,Dates -  4/5,1470,Reliable
71,2,30,2,2,8,0,0,9,9,0,0,0,0,1,0,35,0,17.270737047,0.486499635,7.297494527,0.486499635,0.486499635,1.945998541,0,0,2.189248358,2.189248358,0,0,0,0,0.243249818,0,8.513743615,0,4.111,0,0,0,1,0,0,fd93ae20-7d71-43e4-8964-b547642c253d#651574ea-82a6-4b79-8106-8cfb511cdda3#17b185eef,Dates -  2/5,1470,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,10.928961749,0,12.750455373,1.821493625,1.821493625,1.821493625,0,0,3.64298725,3.64298725,0,0,0,0,0,0,0,0,0.549,0,0,0,0,1,0,3HEADTGN2P4XZF7MVKSW3P5LFKIVR0#e29bfa4d-9e9b-4ba6-98c1-8e96be8ac5ce#1A2GWAP9LVGHO2B,Table -  4/7,1468,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,10.771992819,0,12.567324955,1.795332136,1.795332136,1.795332136,0,0,3.590664273,3.590664273,0,0,0,0,0,0,0,0,0.557,0,0,0,0,1,0,3HEADTGN2P4XZF7MVKSW3P5LFKIVR0#e29bfa4d-9e9b-4ba6-98c1-8e96be8ac5ce#1A2GWAP9LVGHO2B,Table -  5/7,1468,Reliable
6,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,10.291595197,1.715265866,12.006861063,1.715265866,1.715265866,1.715265866,0,0,3.430531732,3.430531732,0,0,0,0,0,0,0,0,0.583,0,0,0,0,1,0,3MYASTQBG7NBTXS0RK32SDP9JRCQDV#e5652d2b-a19a-4931-b640-de9385da87aa#1A2GWAP9LVGHO2B,Table -  2/7,1468,Reliable
6,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,11.695906433,1.949317739,13.645224172,1.949317739,1.949317739,1.949317739,0,0,3.898635478,3.898635478,0,0,0,0,0,0,0,0,0.513,0,0,0,0,1,0,3MYASTQBG7NBTXS0RK32SDP9JRCQDV#e5652d2b-a19a-4931-b640-de9385da87aa#1A2GWAP9LVGHO2B,Table -  3/7,1468,Reliable
7,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,12.52236136,0,12.52236136,1.788908766,1.788908766,1.788908766,0,0,3.577817531,3.577817531,0,0,0,0,0,0,0,0,0.559,0,0,0,0,1,0,3OREP8RUT2NR1B02AS7K39X7AJRGBJ#48abc547-b651-4825-807d-8fb4737d08a1#1A2GWAP9LVGHO2B,Table -  2/7,1468,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,10.989010989,0,12.820512821,1.831501832,1.831501832,1.831501832,0,0,3.663003663,3.663003663,0,0,0,0,0,0,0,0,0.546,0,0,0,0,1,0,3OREP8RUT2NR1B02AS7K39X7AJRGBJ#48abc547-b651-4825-807d-8fb4737d08a1#1A2GWAP9LVGHO2B,Table -  3/7,1468,Reliable
7,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,11.945392491,1.706484642,11.945392491,1.706484642,1.706484642,1.706484642,0,0,3.412969283,3.412969283,0,0,0,0,0,0,0,0,0.586,0,0,0,0,1,0,3OREP8RUT2NR1B02AS7K39X7AJRGBJ#48abc547-b651-4825-807d-8fb4737d08a1#1A2GWAP9LVGHO2B,Table -  5/7,1468,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,11.173184358,0,13.03538175,1.862197393,1.862197393,1.862197393,0,0,3.724394786,3.724394786,0,0,0,0,0,0,0,0,0.537,0,0,0,0,1,0,3OREP8RUT2NR1B02AS7K39X7AJRGBJ#48abc547-b651-4825-807d-8fb4737d08a1#1A2GWAP9LVGHO2B,Table -  6/7,1468,Reliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,8,0,5.324813632,0,7.454739084,1.064962726,1.064962726,1.064962726,0,0,2.129925453,2.129925453,0,0,0,0,0,0,8.51970181,0,0.939,0,0,0,1,0,0,3566S7OX5DV7VK79FSA1RK75P5P17S#7e6b9c59-9d30-4851-bb98-bf92682a63d1#1A2QR2HEZRBAMB8,Dates -  2/5,1469,Unreliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,7,0,5.263157895,0,7.368421053,1.052631579,1.052631579,1.052631579,0,0,2.105263158,2.105263158,0,0,0,0,0,0,7.368421053,0,0.95,0,0,0,1,0,0,3566S7OX5DV7VK79FSA1RK75P5P17S#7e6b9c59-9d30-4851-bb98-bf92682a63d1#1A2QR2HEZRBAMB8,Dates -  3/5,1469,Reliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,7,0,5.662514156,0,7.927519819,1.132502831,1.132502831,1.132502831,0,0,2.265005663,2.265005663,0,0,0,0,0,0,7.927519819,0,0.883,0,0,0,1,0,0,3566S7OX5DV7VK79FSA1RK75P5P17S#7e6b9c59-9d30-4851-bb98-bf92682a63d1#1A2QR2HEZRBAMB8,Dates -  4/5,1469,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,5.063291139,0,8.860759494,1.265822785,1.265822785,1.265822785,0,0,2.53164557,2.53164557,0,0,0,0,0,0,0,0,0.79,0,0,1,0,0,0,3NKW03WTLMJA23SR8F8SK1EUQ8BWQ5#37d0952c-a6e8-4a1e-b08e-01978885a3c2#1A2QR2HEZRBAMB8,Amounts -  3/8,1469,Unreliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,4.376367615,0,7.658643326,1.094091904,1.094091904,1.094091904,0,0,2.188183807,2.188183807,0,0,0,0,0,0,0,0,0.914,0,0,1,0,0,0,3NKW03WTLMJA23SR8F8SK1EUQ8BWQ5#37d0952c-a6e8-4a1e-b08e-01978885a3c2#1A2QR2HEZRBAMB8,Amounts -  7/8,1469,Unreliable
5,1,7,1,1,1,0,0,2,2,0,0,0,0,1,0,6,0,5.302226935,1.060445387,7.423117709,1.060445387,1.060445387,1.060445387,0,0,2.120890774,2.120890774,0,0,0,0,1.060445387,0,6.362672322,0,0.943,0,0,0,1,0,0,3X2YVV51PUGMLZ8AN0IDJ06MIWY1WU#07e7ace7-818e-418d-9295-422c1df615cd#1A2QR2HEZRBAMB8,Dates -  2/5,1469,Reliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,1,0,7,0,4.081632653,0,5.714285714,0.816326531,0.816326531,0.816326531,0,0,1.632653061,1.632653061,0,0,0,0,0.816326531,0,5.714285714,0,1.225,0,0,0,1,0,0,3X2YVV51PUGMLZ8AN0IDJ06MIWY1WU#07e7ace7-818e-418d-9295-422c1df615cd#1A2QR2HEZRBAMB8,Dates -  4/5,1469,Reliable
3,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,4.155124654,0,9.695290859,1.385041551,1.385041551,1.385041551,0,0,2.770083102,2.770083102,0,0,0,0,0,0,0,0,0.722,0,0,1,0,0,0,302OLP89DZJ91PF52SB5I7SMUA7AC3#cc3dfe47-55b5-4c99-b940-7ba1b0307a21#1A30CKM3K08TKPJ,Amounts -  10/11,1469,Unreliable
6,3,6,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,2.767527675,1.383763838,2.767527675,0.461254613,0.461254613,0.922509225,0,0,0.461254613,0.461254613,0,0,0,0,0,0,0,0,2.168,0,0,1,0,0,0,302OLP89DZJ91PF52SB5I7SMUA7AC3#cc3dfe47-55b5-4c99-b940-7ba1b0307a21#1A30CKM3K08TKPJ,Amounts -  11/11,1469,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,4.069175992,0,7.121057986,1.017293998,1.017293998,1.017293998,0,0,2.034587996,2.034587996,0,0,0,0,0,0,0,0,0.983,0,0,1,0,0,0,302OLP89DZJ91PF52SB5I7SMUA7AC3#cc3dfe47-55b5-4c99-b940-7ba1b0307a21#1A30CKM3K08TKPJ,Amounts -  8/11,1469,Unreliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,5.805515239,0,10.159651669,1.45137881,1.45137881,1.45137881,0,0,2.90275762,2.90275762,0,0,0,0,0,0,0,0,0.689,0,0,1,0,0,0,302OLP89DZJ91PF52SB5I7SMUA7AC3#cc3dfe47-55b5-4c99-b940-7ba1b0307a21#1A30CKM3K08TKPJ,Amounts -  9/11,1469,Unreliable
19,13,14,2,2,2,0,0,4,4,0,0,0,0,12,0,5,0,2.613480055,1.788170564,1.925722146,0.275103164,0.275103164,0.275103164,0,0,0.550206327,0.550206327,0,0,0,0,1.650618982,0,0.687757909,0,7.27,0,0,1,0,0,0,375VMB7D4JVYCZ4HECYTJBYNSILIDC#c9edda35-2e87-472d-9369-e44b8a3e36bd#1A30CKM3K08TKPJ,Amounts -  1/4,1469,Unreliable
