mutation_count;mouse_move_count;mouse_interaction_count;mouse_up_count;mouse_down_count;click_count;context_menu_count;dbl_click_count;focus_count;blur_count;touch_start_count;touch_move_departed_count;touch_end_count;touch_cancel_count;scroll_count;viewport_resize_count;input_count;touch_count;mutation_per_second;mouse_move_per_second;mouse_interaction_per_second;mouse_up_per_second;mouse_down_per_second;click_per_second;context_menu_per_second;dbl_click_per_second;focus_per_second;blur_per_second;touch_start_per_second;touch_move_departed_per_second;touch_end_per_second;touch_cancel_per_second;scroll_per_second;viewport_resize_per_second;input_per_second;touch_per_second;active_s;inactivity_s;DatesReha;Amounts;Dates;Table;Your Task;Prediction;Confidence;recording_id;step_id;workunit_id;class
8;6;7;1;1;1;0;0;2;2;0;0;0;0;0;0;6;0;24.914.356.898.162.500;18.685.767.673.621.900;21.800.062.285.892.200;0.3114294612270321;0.3114294612270321;0.3114294612270321;0.0;0.0;0.6228589224540642;0.6228589224540642;0.0;0.0;0.0;0.0;0.0;0.0;18.685.767.673.621.900;0.0;3211;0.0;0;0;0;1;0;Reliable;0.9991308;3H1C3QRA01VCR2WHIXDREQICC88CE0#25c739e9-4a65-42ef-823c-1fb6a4f821b4#1A1DOYOVBRYNP7U;1469;Table - 3/4;Reliable
7;0;13;2;2;1;0;0;4;4;0;0;0;0;0;0;0;0;10.852.713.178.294.500;0.0;20.155.038.759.689.900;31.007.751.937.984.400;31.007.751.937.984.400;1.550.387.596.899.220;0.0;0.0;6.201.550.387.596.890;6.201.550.387.596.890;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;645;0.0;0;0;0;1;0;Reliable;0.7397512;d8544ab1-b5d9-4022-b569-938d70997b1d#a6dca8de-2338-4363-a7f3-fd1c19d95854#13fbad998;1470;Table - 3/7;Reliable
6;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;1.595.744.680.851.060;0.0;398.936.170.212.766;5.319.148.936.170.210;5.319.148.936.170.210;5.319.148.936.170.210;0.0;26.595.744.680.851.000;10.638.297.872.340.400;10.638.297.872.340.400;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;376;0.0;0;0;0;1;0;Reliable;0.5770218;3715a241-01c6-4ee6-9752-c2b93497b644#a1dd1ea0-0b09-46a2-8a60-dada7dd5a7c8#1b46d2a54;1470;Table - 4/7;Reliable
5;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;11.415.525.114.155.200;0.0;31.963.470.319.634.700;4.566.210.045.662.100;4.566.210.045.662.100;4.566.210.045.662.100;0.0;0.0;91.324.200.913.242;91.324.200.913.242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;438;0.0;0;0;0;1;0;Reliable;0.6678792;d8544ab1-b5d9-4022-b569-938d70997b1d#a6dca8de-2338-4363-a7f3-fd1c19d95854#13fbad998;1470;Table - 4/7;Reliable
21;1;9;1;1;1;0;0;3;3;0;0;0;0;0;0;14;0;3.162.650.602.409.630;0.1506024096385542;1.355.421.686.746.980;0.1506024096385542;0.1506024096385542;0.1506024096385542;0.0;0.0;0.4518072289156626;0.4518072289156626;0.0;0.0;0.0;0.0;0.0;0.0;2.108.433.734.939.750;0.0;Jun 64;0.0;0;0;0;1;0;Reliable;0.99929214;38F60IALAGTUMTJYWC92IBGC6STT07#6f4749eb-4e45-4b3d-8557-566f53fb6cf6#1AFUE61NJ28R5A;1468;Table - 5/7;Reliable
8;0;9;1;1;1;0;0;3;3;0;0;0;0;0;0;9;0;5.759.539.236.861.050;0.0;6.479.481.641.468.680;0.7199424046076314;0.7199424046076314;0.7199424046076314;0.0;0.0;2.159.827.213.822.890;2.159.827.213.822.890;0.0;0.0;0.0;0.0;0.0;0.0;6.479.481.641.468.680;0.0;1389;0.0;0;0;0;1;0;Reliable;0.99085087;3D0LPO3EABBB6WAB83YCGT49JXRYOR#9372c7b9-712d-4ef8-9edb-65ddf96f0e79#1AS5OG2PNDHRVQ;1468;Table - 5/7;Reliable
5;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;12.987.012.987.012.900;0.0;3.896.103.896.103.890;5.194.805.194.805.190;5.194.805.194.805.190;5.194.805.194.805.190;0.0;25.974.025.974.025.900;1.038.961.038.961.030;1.038.961.038.961.030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;385;0.0;0;0;0;1;0;Reliable;0.58163744;35cbe974-1cb4-4053-ac16-b49ac6ee7f09#b9385fdc-d44a-4b7d-a2de-91f9d5885785#1da057848;1470;Table - 5/7;Reliable
6;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;12.958.963.282.937.300;0.0;30.237.580.993.520.500;4.319.654.427.645.780;4.319.654.427.645.780;4.319.654.427.645.780;0.0;0.0;8.639.308.855.291.570;8.639.308.855.291.570;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;463;0.0;0;0;0;1;0;Reliable;0.6779296;3715a241-01c6-4ee6-9752-c2b93497b644#a1dd1ea0-0b09-46a2-8a60-dada7dd5a7c8#1b46d2a54;1470;Table - 5/7;Reliable
5;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;14.204.545.454.545.400;0.0;3.977.272.727.272.720;56.818.181.818.181.800;56.818.181.818.181.800;56.818.181.818.181.800;0.0;0.0;11.363.636.363.636.300;11.363.636.363.636.300;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;352;0.0;0;0;0;1;0;Reliable;0.6278926;35cbe974-1cb4-4053-ac16-b49ac6ee7f09#b9385fdc-d44a-4b7d-a2de-91f9d5885785#1da057848;1470;Table - 6/7;Reliable
7;0;16;3;3;2;0;0;4;4;0;0;0;0;0;0;0;0;15.283.842.794.759.800;0.0;3.493.449.781.659.380;6.550.218.340.611.350;6.550.218.340.611.350;4.366.812.227.074.230;0.0;0.0;873.362.445.414.847;873.362.445.414.847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;458;0.0;0;0;0;1;0;Reliable;0.7298066;3715a241-01c6-4ee6-9752-c2b93497b644#a1dd1ea0-0b09-46a2-8a60-dada7dd5a7c8#1b46d2a54;1470;Table - 6/7;Reliable
