mutation_count;mouse_move_count;mouse_interaction_count;mouse_up_count;mouse_down_count;click_count;context_menu_count;dbl_click_count;focus_count;blur_count;touch_start_count;touch_move_departed_count;touch_end_count;touch_cancel_count;scroll_count;viewport_resize_count;input_count;touch_count;mutation_per_second;mouse_move_per_second;mouse_interaction_per_second;mouse_up_per_second;mouse_down_per_second;click_per_second;context_menu_per_second;dbl_click_per_second;focus_per_second;blur_per_second;touch_start_per_second;touch_move_departed_per_second;touch_end_per_second;touch_cancel_per_second;scroll_per_second;viewport_resize_per_second;input_per_second;touch_per_second;active_s;inactivity_s;DatesReha;Amounts;Dates;Table;Your Task;Prediction;Confidence;recording_id;step_id;workunit_id;class
1;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;60.606.060.606.060.600;0.0;4.848.484.848.484.840;60.606.060.606.060.600;60.606.060.606.060.600;60.606.060.606.060.600;0.0;60.606.060.606.060.600;1.212.121.212.121.210;1.212.121.212.121.210;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165;0.0;0;0;1;0;0;Unreliable;0.87962115;14f8f24-d2ca-40ff-9b14-a8ca7503fc93#d554346e-35c7-40d9-83d0-8c166a8333d6#13e586843;1470;Dates -  3/5;Reliable
1;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;5.405.405.405.405.400;0.0;3.783.783.783.783.780;5.405.405.405.405.400;5.405.405.405.405.400;5.405.405.405.405.400;0.0;0.0;1.081.081.081.081.080;1.081.081.081.081.080;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;185;0.0;0;0;1;0;0;Unreliable;0.8681363;14f8f24-d2ca-40ff-9b14-a8ca7503fc93#d554346e-35c7-40d9-83d0-8c166a8333d6#13e586843;1470;Dates -  4/5;Reliable
2;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;10.152.284.263.959.300;0.0;3.553.299.492.385.780;5.076.142.131.979.690;5.076.142.131.979.690;5.076.142.131.979.690;0.0;0.0;10.152.284.263.959.300;10.152.284.263.959.300;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;197;0.0;0;0;1;0;0;Unreliable;0.86028236;14f8f24-d2ca-40ff-9b14-a8ca7503fc93#d554346e-35c7-40d9-83d0-8c166a8333d6#13e586843;1470;Dates -  2/5;Reliable
7;1;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;8.557.457.212.713.930;12.224.938.875.305.600;17.114.914.425.427.800;2.444.987.775.061.120;2.444.987.775.061.120;2.444.987.775.061.120;0.0;0.0;488.997.555.012.225;488.997.555.012.225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;818;0.0;0;0;0;1;0;Unreliable;0.4648927;19819f8-cdf5-4edd-a1fa-53c7c23402ec#c0b0187a-0594-4e47-bb30-a18ab32fcca5#1fed461b9;1470;Table -  6/7;Reliable
6;1;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;13.953.488.372.093.000;23.255.813.953.488.300;186.046.511.627.907;23.255.813.953.488.300;23.255.813.953.488.300;23.255.813.953.488.300;0.0;23.255.813.953.488.300;4.651.162.790.697.670;4.651.162.790.697.670;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;0.0;0;0;0;1;0;Unreliable;0.59717864;2253f7d-4cfd-446d-8bd4-e03236b90a86#09ee181d-3f09-4142-b7b0-d5183ca6ba32#1f814b796;1470;Table -  3/7;Reliable
5;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;11.848.341.232.227.400;0.0;16.587.677.725.118.400;23.696.682.464.454.900;23.696.682.464.454.900;23.696.682.464.454.900;0.0;0.0;4.739.336.492.890.990;4.739.336.492.890.990;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;422;0.0;0;0;0;1;0;Unreliable;0.529567;2253f7d-4cfd-446d-8bd4-e03236b90a86#09ee181d-3f09-4142-b7b0-d5183ca6ba32#1f814b796;1470;Table -  4/7;Reliable
4;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;1.095.890.410.958.900;0.0;2.191.780.821.917.800;273.972.602.739.726;273.972.602.739.726;273.972.602.739.726;0.0;273.972.602.739.726;547.945.205.479.452;547.945.205.479.452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365;0.0;0;1;0;0;0;Unreliable;0.73508424;50917be-8857-4c98-bcb4-dc538b02ad65#4714f07b-a0f3-4a44-925e-b848e5553d1b#11b8efd1b;1470;Amounts -  7/11;Reliable
3;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;7.556.675.062.972.290;0.0;17.632.241.813.602.000;25.188.916.876.574.300;25.188.916.876.574.300;25.188.916.876.574.300;0.0;0.0;5.037.783.375.314.860;5.037.783.375.314.860;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397;0.0;0;1;0;0;0;Unreliable;0.53785336;50917be-8857-4c98-bcb4-dc538b02ad65#4714f07b-a0f3-4a44-925e-b848e5553d1b#11b8efd1b;1470;Amounts -  8/11;Reliable
5;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;4.975.124.378.109.450;0.0;1.492.537.313.432.830;19.900.497.512.437.800;19.900.497.512.437.800;19.900.497.512.437.800;0.0;0.9950248756218908;39.800.995.024.875.600;39.800.995.024.875.600;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1005;0.0;0;1;0;0;0;Unreliable;0.51981294;50917be-8857-4c98-bcb4-dc538b02ad65#4714f07b-a0f3-4a44-925e-b848e5553d1b#11b8efd1b;1470;Amounts -  4/11;Reliable
6;0;13;2;2;1;0;0;4;4;0;0;0;0;0;0;0;0;9.836.065.573.770.490;0.0;21.311.475.409.836.000;3.278.688.524.590.160;3.278.688.524.590.160;1.639.344.262.295.080;0.0;0.0;6.557.377.049.180.320;6.557.377.049.180.320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.61;0.0;0;0;0;1;0;Unreliable;0.6382557;cecc395-b5d5-42d5-8c18-e5cc460db3f3#8f78d638-a08d-42f3-8d93-cbe12d4fdcf3#1bcaa15f9;1470;Table -  5/7;Reliable
3;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;6.237.006.237.006.230;0.0;14.553.014.553.014.500;2.079.002.079.002.070;2.079.002.079.002.070;2.079.002.079.002.070;0.0;0.0;4.158.004.158.004.150;4.158.004.158.004.150;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;481;0.0;0;1;0;0;0;Unreliable;0.48177996;f4faf8a-f67d-4455-a821-04c7e82185c5#ebdf311b-86da-4ad4-bd00-56bab108e9f7#10c85219c;1470;Amounts -  3/11;Reliable
4;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;7.874.015.748.031.490;0.0;15.748.031.496.062.900;1.968.503.937.007.870;1.968.503.937.007.870;1.968.503.937.007.870;0.0;1.968.503.937.007.870;3.937.007.874.015.740;3.937.007.874.015.740;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;508;0.0;0;1;0;0;0;Unreliable;0.47993428;f4faf8a-f67d-4455-a821-04c7e82185c5#ebdf311b-86da-4ad4-bd00-56bab108e9f7#10c85219c;1470;Amounts -  4/11;Reliable
4;0;18;3;3;3;0;1;4;4;0;0;0;0;0;0;0;0;4.667.444.574.095.680;0.0;21.003.500.583.430.500;3.500.583.430.571.760;3.500.583.430.571.760;3.500.583.430.571.760;0.0;1.166.861.143.523.920;4.667.444.574.095.680;4.667.444.574.095.680;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;857;0.0;0;1;0;0;0;Unreliable;0.61382604;f4faf8a-f67d-4455-a821-04c7e82185c5#ebdf311b-86da-4ad4-bd00-56bab108e9f7#10c85219c;1470;Amounts -  10/11;Reliable
4;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;7.547.169.811.320.750;0.0;15.094.339.622.641.500;18.867.924.528.301.800;18.867.924.528.301.800;18.867.924.528.301.800;0.0;18.867.924.528.301.800;3.773.584.905.660.370;3.773.584.905.660.370;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.53;0.0;0;1;0;0;0;Unreliable;0.45770946;f4faf8a-f67d-4455-a821-04c7e82185c5#ebdf311b-86da-4ad4-bd00-56bab108e9f7#10c85219c;1470;Amounts -  7/11;Reliable
3;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;6.036.217.303.822.930;0.0;14.084.507.042.253.500;20.120.724.346.076.400;20.120.724.346.076.400;20.120.724.346.076.400;0.0;0.0;40.241.448.692.152.900;40.241.448.692.152.900;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;497;0.0;0;1;0;0;0;Unreliable;0.465788;f4faf8a-f67d-4455-a821-04c7e82185c5#ebdf311b-86da-4ad4-bd00-56bab108e9f7#10c85219c;1470;Amounts -  8/11;Reliable
3;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;5.319.148.936.170.210;0.0;14.184.397.163.120.500;1.773.049.645.390.070;1.773.049.645.390.070;1.773.049.645.390.070;0.0;1.773.049.645.390.070;3.546.099.290.780.140;3.546.099.290.780.140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;564;0.0;0;1;0;0;0;Unreliable;0.541793;04571f85-3e2d-4b57-a0e5-8ffe995a5211#a14678b7-2328-400f-9bd1-15e56078551a#15e3ecf1a;1470;Amounts -  8/11;Reliable
11;0;19;2;2;2;0;1;6;6;0;0;0;0;0;0;0;0;15.536.723.163.841.800;0.0;268.361.581.920.904;2.824.858.757.062.140;2.824.858.757.062.140;2.824.858.757.062.140;0.0;14.124.293.785.310.700;8.474.576.271.186.440;8.474.576.271.186.440;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;708;0.0;0;1;0;0;0;Unreliable;0.78878456;088a01b8-43b7-44d9-a28d-dcbb80fce953#56826b11-c911-4c2e-a5ae-7d3e4372d39d#18c664955;1470;Amounts -  9/11;Reliable
11;0;18;2;2;2;0;0;6;6;0;0;0;0;0;0;0;0;15.089.163.237.311.300;0.0;24.691.358.024.691.300;2.743.484.224.965.700;2.743.484.224.965.700;2.743.484.224.965.700;0.0;0.0;823.045.267.489.712;823.045.267.489.712;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7290000000000001;0.0;0;1;0;0;0;Unreliable;0.7242677;088a01b8-43b7-44d9-a28d-dcbb80fce953#56826b11-c911-4c2e-a5ae-7d3e4372d39d#18c664955;1470;Amounts -  10/11;Reliable
9;1;18;2;2;2;0;0;6;6;0;0;0;0;0;0;0;0;12.587.412.587.412.500;13.986.013.986.013.900;25.174.825.174.825.100;2.797.202.797.202.790;2.797.202.797.202.790;2.797.202.797.202.790;0.0;0.0;839.160.839.160.839;839.160.839.160.839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7150000000000001;0.0;0;1;0;0;0;Unreliable;0.70781076;088a01b8-43b7-44d9-a28d-dcbb80fce953#56826b11-c911-4c2e-a5ae-7d3e4372d39d#18c664955;1470;Amounts -  8/11;Reliable
13;0;18;2;2;2;0;0;6;6;0;0;0;0;0;0;0;0;16.774.193.548.387.000;0.0;23.225.806.451.612.900;25.806.451.612.903.200;25.806.451.612.903.200;25.806.451.612.903.200;0.0;0.0;7.741.935.483.870.960;7.741.935.483.870.960;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;775;0.0;0;1;0;0;0;Unreliable;0.69873786;088a01b8-43b7-44d9-a28d-dcbb80fce953#56826b11-c911-4c2e-a5ae-7d3e4372d39d#18c664955;1470;Amounts -  7/11;Reliable
10;0;18;2;2;2;0;0;6;6;0;0;0;0;0;0;0;0;11.890.606.420.927.400;0.0;2.140.309.155.766.940;2.378.121.284.185.490;2.378.121.284.185.490;2.378.121.284.185.490;0.0;0.0;7.134.363.852.556.480;7.134.363.852.556.480;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;841;0.0;0;1;0;0;0;Unreliable;0.66379476;088a01b8-43b7-44d9-a28d-dcbb80fce953#56826b11-c911-4c2e-a5ae-7d3e4372d39d#18c664955;1470;Amounts -  6/11;Reliable
10;0;19;2;2;2;0;1;6;6;0;0;0;0;0;0;0;0;8.517.887.563.884.150;0.0;161.839.863.713.799;17.035.775.127.768.300;17.035.775.127.768.300;17.035.775.127.768.300;0.0;0.8517887563884157;5.110.732.538.330.490;5.110.732.538.330.490;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1174;0.0;0;1;0;0;0;Unreliable;0.5780533;088a01b8-43b7-44d9-a28d-dcbb80fce953#56826b11-c911-4c2e-a5ae-7d3e4372d39d#18c664955;1470;Amounts -  4/11;Reliable
9;0;18;2;2;2;0;0;6;6;0;0;0;0;0;0;0;0;8.130.081.300.813.000;0.0;16.260.162.601.626.000;1.806.684.733.514.000;1.806.684.733.514.000;1.806.684.733.514.000;0.0;0.0;5.420.054.200.542.000;5.420.054.200.542.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1107;0.0;0;1;0;0;0;Unreliable;0.50801784;088a01b8-43b7-44d9-a28d-dcbb80fce953#56826b11-c911-4c2e-a5ae-7d3e4372d39d#18c664955;1470;Amounts -  5/11;Reliable
5;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;11.135.857.461.024.400;0.0;17.817.371.937.639.100;22.271.714.922.049;22.271.714.922.049;22.271.714.922.049;0.0;22.271.714.922.049;44.543.429.844.098;44.543.429.844.098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;449;0.0;0;1;0;0;0;Unreliable;0.65372705;26572eae-5c5e-4e04-bf8f-d9918e421b90#37b4d9ed-48a6-4481-9edf-0e073fbf2530#1eb1bc72c;1470;Amounts -  4/11;Reliable
4;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;8.869.179.600.886.910;0.0;17.738.359.201.773.800;2.217.294.900.221.720;2.217.294.900.221.720;2.217.294.900.221.720;0.0;2.217.294.900.221.720;4.434.589.800.443.450;4.434.589.800.443.450;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;451;0.0;0;1;0;0;0;Unreliable;0.6520945;26572eae-5c5e-4e04-bf8f-d9918e421b90#37b4d9ed-48a6-4481-9edf-0e073fbf2530#1eb1bc72c;1470;Amounts -  8/11;Reliable
3;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;07. Mai;0.0;17. Mai;02. Mai;02. Mai;02. Mai;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0;1;0;0;0;Unreliable;0.53302175;26572eae-5c5e-4e04-bf8f-d9918e421b90#37b4d9ed-48a6-4481-9edf-0e073fbf2530#1eb1bc72c;1470;Amounts -  5/11;Reliable
3;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;68.807.339.449.541.200;0.0;1.605.504.587.155.960;2.293.577.981.651.370;2.293.577.981.651.370;2.293.577.981.651.370;0.0;0.0;4.587.155.963.302.750;4.587.155.963.302.750;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;436;0.0;0;1;0;0;0;Unreliable;0.47995493;26572eae-5c5e-4e04-bf8f-d9918e421b90#37b4d9ed-48a6-4481-9edf-0e073fbf2530#1eb1bc72c;1470;Amounts -  9/11;Reliable
5;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;9.881.422.924.901.180;0.0;2.964.426.877.470.350;3.952.569.169.960.470;3.952.569.169.960.470;3.952.569.169.960.470;0.0;1.976.284.584.980.230;7.905.138.339.920.940;7.905.138.339.920.940;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;506;0.0;0;1;0;0;0;Unreliable;0.8290739;2c54d106-6ef2-41a5-8558-85bd4a133a3d#3310e8a5-e293-4b12-9ca7-e09c3c3baf73#19386eb9d;1470;Amounts -  4/11;Reliable
4;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;8.849.557.522.123.890;0.0;30.973.451.327.433.600;4.424.778.761.061.940;4.424.778.761.061.940;4.424.778.761.061.940;0.0;0.0;8.849.557.522.123.890;8.849.557.522.123.890;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;452;0.0;0;1;0;0;0;Unreliable;0.8256211;2c54d106-6ef2-41a5-8558-85bd4a133a3d#3310e8a5-e293-4b12-9ca7-e09c3c3baf73#19386eb9d;1470;Amounts -  7/11;Reliable
4;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;8.658.008.658.008.650;0.0;303.030.303.030.303;4.329.004.329.004.320;4.329.004.329.004.320;4.329.004.329.004.320;0.0;0.0;8.658.008.658.008.650;8.658.008.658.008.650;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;462;0.0;0;1;0;0;0;Unreliable;0.81917787;2c54d106-6ef2-41a5-8558-85bd4a133a3d#3310e8a5-e293-4b12-9ca7-e09c3c3baf73#19386eb9d;1470;Amounts -  5/11;Reliable
5;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;102.880.658.436.214;0.0;2.880.658.436.213.990;411.522.633.744.856;411.522.633.744.856;411.522.633.744.856;0.0;0.0;823.045.267.489.712;823.045.267.489.712;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;486;0.0;0;1;0;0;0;Unreliable;0.8002494;2c54d106-6ef2-41a5-8558-85bd4a133a3d#3310e8a5-e293-4b12-9ca7-e09c3c3baf73#19386eb9d;1470;Amounts -  8/11;Reliable
4;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;7.561.436.672.967.860;0.0;26.465.028.355.387.500;3.780.718.336.483.930;3.780.718.336.483.930;3.780.718.336.483.930;0.0;0.0;7.561.436.672.967.860;7.561.436.672.967.860;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;529;0.0;0;1;0;0;0;Unreliable;0.76790273;2c54d106-6ef2-41a5-8558-85bd4a133a3d#3310e8a5-e293-4b12-9ca7-e09c3c3baf73#19386eb9d;1470;Amounts -  9/11;Reliable
5;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;9.157.509.157.509.150;0.0;2.564.102.564.102.560;3.663.003.663.003.660;3.663.003.663.003.660;3.663.003.663.003.660;0.0;0.0;7.326.007.326.007.320;7.326.007.326.007.320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;546;0.0;0;1;0;0;0;Unreliable;0.75548637;2c54d106-6ef2-41a5-8558-85bd4a133a3d#3310e8a5-e293-4b12-9ca7-e09c3c3baf73#19386eb9d;1470;Amounts -  6/11;Reliable
4;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;9.433.962.264.150.940;0.0;1.650.943.396.226.410;2.358.490.566.037.730;2.358.490.566.037.730;2.358.490.566.037.730;0.0;0.0;4.716.981.132.075.470;4.716.981.132.075.470;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;424;0.0;0;1;0;0;0;Unreliable;0.49657977;2c54d106-6ef2-41a5-8558-85bd4a133a3d#3310e8a5-e293-4b12-9ca7-e09c3c3baf73#19386eb9d;1470;Amounts -  10/11;Reliable
4;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;8.097.165.991.902.830;0.0;3.036.437.246.963.560;4.048.582.995.951.410;4.048.582.995.951.410;4.048.582.995.951.410;0.0;20.242.914.979.757.000;8.097.165.991.902.830;8.097.165.991.902.830;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;494;0.0;0;1;0;0;0;Unreliable;0.8359674;306de58b-7d26-4d02-b53a-051e1d3d5273#2cb39a81-bff2-4c1a-9c34-a5c02dbdec51#16b272f65;1470;Amounts -  2/11;Reliable
5;1;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;11.627.906.976.744.100;23.255.813.953.488.300;3.255.813.953.488.370;4.651.162.790.697.670;4.651.162.790.697.670;4.651.162.790.697.670;0.0;0.0;930.232.558.139.535;930.232.558.139.535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;0.0;0;1;0;0;0;Unreliable;0.8200813;306de58b-7d26-4d02-b53a-051e1d3d5273#2cb39a81-bff2-4c1a-9c34-a5c02dbdec51#16b272f65;1470;Amounts -  9/11;Reliable
4;1;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;7.104.795.737.122.550;17.761.989.342.806.300;266.429.840.142.096;355.239.786.856.128;355.239.786.856.128;355.239.786.856.128;0.0;17.761.989.342.806.300;7.104.795.737.122.550;7.104.795.737.122.550;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;563;0.0;0;1;0;0;0;Unreliable;0.78736997;306de58b-7d26-4d02-b53a-051e1d3d5273#2cb39a81-bff2-4c1a-9c34-a5c02dbdec51#16b272f65;1470;Amounts -  8/11;Reliable
3;1;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;6.396.588.486.140.720;21.321.961.620.469.000;17.057.569.296.375.200;21.321.961.620.469.000;21.321.961.620.469.000;21.321.961.620.469.000;0.0;21.321.961.620.469.000;4.264.392.324.093.810;4.264.392.324.093.810;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469;0.0;0;1;0;0;0;Unreliable;0.59729266;306de58b-7d26-4d02-b53a-051e1d3d5273#2cb39a81-bff2-4c1a-9c34-a5c02dbdec51#16b272f65;1470;Amounts -  6/11;Reliable
5;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;9.140.767.824.497.250;0.0;1.462.522.851.919.560;18.281.535.648.994.500;18.281.535.648.994.500;18.281.535.648.994.500;0.0;18.281.535.648.994.500;3.656.307.129.798.900;3.656.307.129.798.900;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;547;0.0;0;1;0;0;0;Unreliable;0.5585256;33CLA8O0MIN83ILWV5NSL32YOPMRFT#95a64adc-4e61-4eee-b4c7-4e911cff3b72#1AJRCRDPKD4TL4;1468;Amounts -  3/11;Reliable
6;0;13;2;2;1;0;0;4;4;0;0;0;0;0;0;0;0;10.619.469.026.548.600;0.0;2.300.884.955.752.210;35.398.230.088.495.500;35.398.230.088.495.500;17.699.115.044.247.700;0.0;0.0;7.079.646.017.699.110;7.079.646.017.699.110;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;565;0.0;0;0;0;1;0;Unreliable;0.73143315;34F34TZU7WB740Q7Z5ZCZTMI54R2JW#fddf9e47-afde-4b9b-8471-894ca3c8dabf#1A1ELWYY4QPMO4H;1468;Table -  4/7;Reliable
1;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;4.694.835.680.751.170;0.0;32.863.849.765.258.200;4.694.835.680.751.170;4.694.835.680.751.170;4.694.835.680.751.170;0.0;0.0;9.389.671.361.502.340;9.389.671.361.502.340;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;213;0.0;0;0;1;0;0;Unreliable;0.85012037;374UMBUHN51EGLEE8S2MDCIDFYITCQ#fdffb153-e302-40d4-b3cd-0ea1edc41098#1A26V8QMPU25JGC;1469;Dates -  2/5;Reliable
8;0;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;8.849.557.522.123.890;0.0;15.486.725.663.716.800;22.123.893.805.309.700;22.123.893.805.309.700;22.123.893.805.309.700;0.0;0.0;4.424.778.761.061.940;4.424.778.761.061.940;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;904;0.0;0;0;0;1;0;Unreliable;0.48043102;39KV3A5D18J7P463SBPLNLUDC3S7SZ#e83325c2-d175-4937-aee2-7a44a21840cc#1AJ91Y71JCKQ8O;1468;Table -  2/7;Reliable
20;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;7.352.941.176.470.580;0.0;2.573.529.411.764.700;3.676.470.588.235.290;3.676.470.588.235.290;3.676.470.588.235.290;0.0;0.0;7.352.941.176.470.580;7.352.941.176.470.580;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2720000000000002;15373;0;1;0;0;0;Unreliable;0.75366795;39WSF6KUV2XD0RTK82MI9QCT11TEOV#86671ba6-0f24-4f6b-9923-2489e56f1ae0#1A1MZXILA66B2U3;1468;Amounts -  4/11;Reliable
4;1;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;13.245.033.112.582.700;33.112.582.781.456.900;26.490.066.225.165.500;33.112.582.781.456.900;33.112.582.781.456.900;33.112.582.781.456.900;0.0;33.112.582.781.456.900;6.622.516.556.291.390;6.622.516.556.291.390;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;302;0.0;0;0;0;1;0;Unreliable;0.7470927;3IH9TRB0FBB4K4O5YJEYI9XD0KX1ID#3cb5a00e-aa3d-4c57-83e8-83be29bfb3b9#1A2WAR6J3IYD6LK;1468;Table -  4/7;Reliable
3;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;1.016.949.152.542.370;0.0;23.728.813.559.322.000;3.389.830.508.474.570;3.389.830.508.474.570;3.389.830.508.474.570;0.0;0.0;6.779.661.016.949.150;6.779.661.016.949.150;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;295;0.0;0;0;0;1;0;Unreliable;0.7307268;3IH9TRB0FBB4K4O5YJEYI9XD0KX1ID#3cb5a00e-aa3d-4c57-83e8-83be29bfb3b9#1A2WAR6J3IYD6LK;1468;Table -  5/7;Reliable
5;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;13.477.088.948.787.000;0.0;18.867.924.528.301.800;26.954.177.897.574.100;26.954.177.897.574.100;26.954.177.897.574.100;0.0;0.0;5.390.835.579.514.820;5.390.835.579.514.820;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371;0.0;0;0;0;1;0;Unreliable;0.621783;3IH9TRB0FBB4K4O5YJEYI9XD0KX1ID#3cb5a00e-aa3d-4c57-83e8-83be29bfb3b9#1A2WAR6J3IYD6LK;1468;Table -  3/7;Reliable
69;5;35;7;7;2;1;0;9;9;0;0;0;0;3;0;33;0;7.555.020.256.213.730;0.5474652359575167;3.832.256.651.702.610;0.7664513303405235;0.7664513303405235;0.2189860943830067;0.1094930471915033;0.0;0.98543742472353;0.98543742472353;0.0;0.0;0.0;0.0;0.32847914157451;0.0;36.132.705.573.196.000;0.0;9133;0.0;0;0;1;0;0;Unreliable;0.45538762;3J9UN9O9J3408QNTKIVYG5T387GJ04#f5c6c267-3a57-4fd7-a70e-e9262bf23943#1AGAKUPDVO5SH5;1468;Dates -  5/5;Reliable
5;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;9.041.591.320.072.330;0.0;27.124.773.960.216.900;36.166.365.280.289.300;36.166.365.280.289.300;36.166.365.280.289.300;0.0;18.083.182.640.144.600;72.332.730.560.578.600;72.332.730.560.578.600;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;553;0.0;0;1;0;0;0;Unreliable;0.8036045;3K3IX1W4S63SVEO97XXB27RSQRRAPD#2dba75c5-a625-4a9f-b936-90bd346ae76d#1A219EH0XANXSW3;1468;Amounts -  8/11;Reliable
7;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;8.641.975.308.641.970;0.0;1.851.851.851.851.850;2.469.135.802.469.130;2.469.135.802.469.130;2.469.135.802.469.130;0.0;12.345.679.012.345.600;4.938.271.604.938.270;4.938.271.604.938.270;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81;0.0;0;1;0;0;0;Unreliable;0.6566754;3K3IX1W4S63SVEO97XXB27RSQRRAPD#2dba75c5-a625-4a9f-b936-90bd346ae76d#1A219EH0XANXSW3;1468;Amounts -  2/11;Reliable
